VCFG_Plate_ID,treatment.id,compared.to,Mahalanobis,mp.value
D09,CUDC-907_5uM,DMSO_0uM,483.205,0
D08,R547_5uM,DMSO_0uM,312.995,0
D10,IMD 0354_5uM,DMSO_0uM,311.726,0
D09,Dinaciclib (SCH727965)_0.5uM,DMSO_0uM,302.215,0
D11,ALK-IN-1_5uM,DMSO_0uM,300.935,0
D08,Flavopiridol HCl_5uM,DMSO_0uM,256.124,0
D08,KX2-391_5uM,DMSO_0uM,254.827,0
D12,Ro3280_0.5uM,DMSO_0uM,195.014,0
D08,CHIR-124_5uM,DMSO_0uM,191.234,0
D07,TAK-733_5uM,DMSO_0uM,188.462,0
D06,GSK461364_0.5uM,DMSO_0uM,185.629,0
D16,P276-00_5uM,DMSO_0uM,175.523,0
D13,HS-173_5uM,DMSO_0uM,152.25,0
D09,Dinaciclib (SCH727965)_5uM,DMSO_0uM,150.253,0
D07,AZD5438_5uM,DMSO_0uM,144.89,0
D16,Pacritinib (SB1518)_5uM,DMSO_0uM,141.197,0
D13,JNK Inhibitor IX_5uM,DMSO_0uM,137.168,0
D09,BGT226 (NVP-BGT226)_5uM,DMSO_0uM,135.157,0
D12,PF-3758309_5uM,DMSO_0uM,121.916,0
D09,Tivantinib (ARQ 197)_5uM,DMSO_0uM,115.625,0
D08,TAK-901_5uM,DMSO_0uM,104.775,0
D05,HMN-214_5uM,DMSO_0uM,99.327,0
D05,AT7519_5uM,DMSO_0uM,94.603,0
D07,Buparlisib (BKM120_ NVP-BKM120)_5uM,DMSO_0uM,89.307,0
D07,Volasertib (BI 6727)_0.5uM,DMSO_0uM,85.436,0
D02,OSU-03012 (AR-12)_5uM,DMSO_0uM,80.262,0
D07,LY2603618_5uM,DMSO_0uM,79.311,0
D08,A-674563_5uM,DMSO_0uM,78.127,0
D05,AZD7762_5uM,DMSO_0uM,77.916,0
D04,Flavopiridol (Alvocidib)_5uM,DMSO_0uM,69.9,0
D12,VE-822_5uM,DMSO_0uM,68.304,0
D04,Rigosertib (ON-01910)_5uM,DMSO_0uM,63.26,0
D04,CUDC-101_5uM,DMSO_0uM,63.147,0
D09,CUDC-907_0.5uM,DMSO_0uM,60.243,0
D07,Omipalisib (GSK2126458_ GSK458)_5uM,DMSO_0uM,56.224,0
D12,Ro3280_5uM,DMSO_0uM,50.27,0
D03,SNS-032 (BMS-387032)_5uM,DMSO_0uM,48.212,0
D03,BI 2536_0.5uM,DMSO_0uM,47.666,0
D10,Golvatinib (E7050)_5uM,DMSO_0uM,47.197,0
D15,SGI-7079_5uM,DMSO_0uM,41.064,0
D10,PF-477736_5uM,DMSO_0uM,40.77,0
D06,PF-4708671_5uM,DMSO_0uM,40.2,0
D03,BI 2536_5uM,DMSO_0uM,33.789,0
D04,JNJ-7706621_5uM,DMSO_0uM,31.61,0
D10,Torin 2_5uM,DMSO_0uM,31.403,0
D07,Volasertib (BI 6727)_5uM,DMSO_0uM,31.131,0
D03,WZ8040_5uM,DMSO_0uM,29.628,0
D06,AST-1306_5uM,DMSO_0uM,28.931,0
D09,PHA-767491_5uM,DMSO_0uM,28.32,0
D08,Dacomitinib (PF299804_ PF299)_5uM,DMSO_0uM,28.168,0
D13,FRAX597_5uM,DMSO_0uM,28.109,0
D03,Barasertib (AZD1152-HQPA)_5uM,DMSO_0uM,27.114,0
D14,AZD6738_5uM,DMSO_0uM,26.977,0
D01,NVP-AEW541_5uM,DMSO_0uM,26.477,0
D04,CHIR-99021 (CT99021)_5uM,DMSO_0uM,26.431,0
D08,PF-00562271_5uM,DMSO_0uM,25.46,0
D06,Sapitinib (AZD8931)_5uM,DMSO_0uM,25.369,0
D03,Alisertib (MLN8237)_5uM,DMSO_0uM,25.088,0
D07,PP121_5uM,DMSO_0uM,23.558,0
D11,VS-5584 (SB2343)_5uM,DMSO_0uM,23.006,0
D12,PF-543_5uM,DMSO_0uM,22.498,0
D10,TAE226 (NVP-TAE226)_5uM,DMSO_0uM,22.067,0
D02,Crizotinib (PF-02341066)_5uM,DMSO_0uM,22.049,0
D06,Mubritinib (TAK 165)_5uM,DMSO_0uM,21.713,0
D04,PHA-680632_5uM,DMSO_0uM,21.648,0
D11,AZ20_5uM,DMSO_0uM,21.637,0
D03,Danusertib (PHA-739358)_5uM,DMSO_0uM,21.424,0
D03,BMS-754807_5uM,DMSO_0uM,21.014,0
D11,Tepotinib (EMD 1214063)_5uM,DMSO_0uM,20.819,0
D08,Ibrutinib (PCI-32765)_5uM,DMSO_0uM,20.401,0
D06,AZD8330_0.5uM,DMSO_0uM,20.166,0
D08,TG101209_5uM,DMSO_0uM,20.095,0
D08,Apitolisib (GDC-0980_ RG7422)_5uM,DMSO_0uM,19.851,0
D12,AZD3463_5uM,DMSO_0uM,19.757,0
D03,AT9283_5uM,DMSO_0uM,19.712,0
D04,Pelitinib (EKB-569)_5uM,DMSO_0uM,19.558,0
D02,MLN8054_5uM,DMSO_0uM,18.955,0
D02,Pictilisib (GDC-0941)_5uM,DMSO_0uM,18.894,0
D03,WZ3146_5uM,DMSO_0uM,18.366,0
D02,SL-327_5uM,DMSO_0uM,18.043,0
D08,CH5132799_5uM,DMSO_0uM,17.418,0
D15,VPS34-IN1_5uM,DMSO_0uM,17.418,0
D06,OSI-420_5uM,DMSO_0uM,17.379,0
D13,TAK-632_5uM,DMSO_0uM,17.15,0
D02,ZM 447439_5uM,DMSO_0uM,17.119,0
D04,Amuvatinib (MP-470)_5uM,DMSO_0uM,16.852,0
D02,Refametinib (RDEA119_ Bay 86-9766)_5uM,DMSO_0uM,16.196,0
D11,CX-6258 HCl_5uM,DMSO_0uM,16.136,0
D09,PF-04691502_5uM,DMSO_0uM,16.126,0
D10,PF-562271_5uM,DMSO_0uM,16.037,0
D08,WAY-600_5uM,DMSO_0uM,15.769,0
D14,SC1_5uM,DMSO_0uM,15.707,0
D12,Ceritinib (LDK378)_5uM,DMSO_0uM,14.813,0
D02,MK-2206 2HCl_5uM,DMSO_0uM,14.596,0
D05,Hesperadin_5uM,DMSO_0uM,14.479,0
D08,Trametinib (GSK1120212)_5uM,DMSO_0uM,14.457,0
D01,Afatinib (BIBW2992)_5uM,DMSO_0uM,14.212,0
D10,Icotinib_5uM,DMSO_0uM,14.083,0
D01,Dovitinib (TKI-258_ CHIR-258)_5uM,DMSO_0uM,14.076,0
D10,ZM 306416_5uM,DMSO_0uM,13.435,0
D05,Ponatinib (AP24534)_5uM,DMSO_0uM,13.16,0
D12,MLN2480_5uM,DMSO_0uM,13.125,0
D01,Gefitinib (ZD1839)_5uM,DMSO_0uM,12.938,0
D01,BMS-536924_5uM,DMSO_0uM,12.772,0
D14,PF-431396_5uM,DMSO_0uM,12.595,0
D04,BX-912_5uM,DMSO_0uM,12.511,0
D12,abemaciclib (LY2835219)_5uM,DMSO_0uM,11.94,0
D04,Aurora A Inhibitor I_5uM,DMSO_0uM,11.776,0
D12,CNX-2006_5uM,DMSO_0uM,11.698,0
D08,WYE-125132 (WYE-132)_5uM,DMSO_0uM,11.578,0
D02,AC480 (BMS-599626)_5uM,DMSO_0uM,11.436,0
D01,Selumetinib (AZD6244)_5uM,DMSO_0uM,11.398,0
D02,ZSTK474_5uM,DMSO_0uM,11.115,0
D04,OSI-930_5uM,DMSO_0uM,11.114,0
D09,Milciclib (PHA-848125)_5uM,DMSO_0uM,10.593,0
D14,VX-11e_5uM,DMSO_0uM,10.476,0
D06,GSK461364_5uM,DMSO_0uM,10.026,0
D07,Honokiol_5uM,DMSO_0uM,9.816,0
