Drug,X,VCFG_Compound_Plate_ID,Patient,Treatment,WellID,Perc_FC,Bin,ZScore,Dose,Group_CTG,Pathway_original,Target_original,Target ,Pathway
A-769662,1535,D08,yPJF520_LT1,A-769662_5,B08,119.692,CV1,1.892,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
A-769662,1534,D08,yPDB516_LT1,A-769662_5,B08,113.221,CV1,1.338,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
A-769662,1536,D08,yPMK295_LT,A-769662_5,B08,95.276,CV1,-0.671,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
A-769662,1643,D08,yPJF520_LT1,A-769662_0.5,E08,81.162,CV1,-1.61,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
A-769662,1644,D08,yPMK295_LT,A-769662_0.5,E08,105.338,CV1,0.806,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
A-769662,1642,D08,yPDB516_LT1,A-769662_0.5,E08,94.737,CV1,-0.621,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
AICAR (Acadesine),1270,D06,yPDB516_LT1,AICAR (Acadesine)_0.5,G04,79.947,CV2,-1.226,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
AICAR (Acadesine),1163,D06,yPJF520_LT1,AICAR (Acadesine)_5,D04,93.116,CV1,-0.703,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
AICAR (Acadesine),1162,D06,yPDB516_LT1,AICAR (Acadesine)_5,D04,90.844,CV1,-0.552,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
AICAR (Acadesine),1272,D06,yPMK295_LT,AICAR (Acadesine)_0.5,G04,83.017,CV1,-1.566,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
AICAR (Acadesine),1164,D06,yPMK295_LT,AICAR (Acadesine)_5,D04,102.837,CV1,-0.079,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
AICAR (Acadesine),1271,D06,yPJF520_LT1,AICAR (Acadesine)_0.5,G04,66.158,CV2,-3.352,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
Dorsomorphin 2HCl,3400,D16,yPDB516_LT1,Dorsomorphin 2HCl_0.5,F10,80.936,CV1,-1.426,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
Dorsomorphin 2HCl,3301,D16,yPDB516_LT1,Dorsomorphin 2HCl_5,C10,85.849,CV1,-1.101,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
Dorsomorphin 2HCl,3401,D16,yPJF520_LT1,Dorsomorphin 2HCl_0.5,F10,99.151,CV1,-0.511,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
Dorsomorphin 2HCl,3402,D16,yPMK295_LT,Dorsomorphin 2HCl_0.5,F10,111.521,CV1,1.627,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
Dorsomorphin 2HCl,3302,D16,yPJF520_LT1,Dorsomorphin 2HCl_5,C10,29.637,LC,-8.94,5,Hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
Dorsomorphin 2HCl,3303,D16,yPMK295_LT,Dorsomorphin 2HCl_5,C10,5.571,LC,-12.355,5,Hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
ETC-1002,3153,D15,yPMK295_LT,ETC-1002_0.5,E07,92.256,CV1,-1.259,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
ETC-1002,3152,D15,yPJF520_LT1,ETC-1002_0.5,E07,76.535,CV2,-0.932,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
ETC-1002,3043,D15,yPDB516_LT1,ETC-1002_5,B07,105.83,CV1,-0.127,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
ETC-1002,3045,D15,yPMK295_LT,ETC-1002_5,B07,102.517,CV1,0.432,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
ETC-1002,3151,D15,yPDB516_LT1,ETC-1002_0.5,E07,91.306,CV1,-0.751,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
ETC-1002,3044,D15,yPJF520_LT1,ETC-1002_5,B07,141.392,HI,1.682,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
GSK621,3150,D15,yPMK295_LT,GSK621_0.5,E06,110.387,CV1,1.729,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
GSK621,3149,D15,yPJF520_LT1,GSK621_0.5,E06,85.105,CV1,-0.587,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
GSK621,3148,D15,yPDB516_LT1,GSK621_0.5,E06,76.155,CV2,-1.402,0.5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
GSK621,3042,D15,yPMK295_LT,GSK621_5,B06,122.097,HI,3.659,5,No hit,PI3K Akt mTOR,AMPK,AMPK/LRRK2,AMPK signalling pathway
