"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_FATTY_ACID_METABOLISM"	140	"Down"	4.07513422632319e-07	2.03756711316159e-05
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	200	"Down"	9.83742939211732e-07	2.45935734802933e-05
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	85	"Down"	5.79917196528845e-06	9.66528660881409e-05
"HALLMARK_MYC_TARGETS_V1"	199	"Down"	3.70172401383881e-05	0.000462715501729851
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	154	"Down"	7.92629673068772e-05	0.000792629673068772
"HALLMARK_E2F_TARGETS"	198	"Down"	0.000586557537608437	0.00488797948007031
"HALLMARK_ADIPOGENESIS"	177	"Down"	0.00154663409479278	0.011047386391377
"HALLMARK_MTORC1_SIGNALING"	196	"Down"	0.00241385606210652	0.0150866003881657
"HALLMARK_GLYCOLYSIS"	177	"Down"	0.00338427364616956	0.0188015202564975
"HALLMARK_XENOBIOTIC_METABOLISM"	157	"Down"	0.00473000249168878	0.0236500124584439
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	72	"Down"	0.00966152041158533	0.0439160018708424
"HALLMARK_ESTROGEN_RESPONSE_LATE"	170	"Down"	0.0158972836855432	0.0662386820230969
"HALLMARK_PEROXISOME"	91	"Down"	0.0290139124576894	0.104550864902866
"HALLMARK_MYC_TARGETS_V2"	58	"Down"	0.030271302554874	0.104550864902866
"HALLMARK_COAGULATION"	78	"Down"	0.0313652594708597	0.104550864902866
"HALLMARK_PROTEIN_SECRETION"	94	"Down"	0.0779676849152411	0.243649015360128
"HALLMARK_ANDROGEN_RESPONSE"	90	"Down"	0.0879944235445407	0.258807128072179
"HALLMARK_G2M_CHECKPOINT"	195	"Down"	0.0931933062231	0.258870295064167
"HALLMARK_HEDGEHOG_SIGNALING"	27	"Up"	0.118387844962905	0.306526718599295
"HALLMARK_ANGIOGENESIS"	21	"Down"	0.122610687439718	0.306526718599295
"HALLMARK_P53_PATHWAY"	191	"Down"	0.13633130290759	0.308794131309761
"HALLMARK_INFLAMMATORY_RESPONSE"	110	"Down"	0.138972146999825	0.308794131309761
"HALLMARK_DNA_REPAIR"	146	"Down"	0.14204530040249	0.308794131309761
"HALLMARK_MITOTIC_SPINDLE"	197	"Up"	0.150152425903252	0.312817553965109
"HALLMARK_HYPOXIA"	161	"Down"	0.182553843976201	0.339316352579649
"HALLMARK_UV_RESPONSE_UP"	139	"Down"	0.186206451613371	0.339316352579649
"HALLMARK_UV_RESPONSE_DN"	120	"Up"	0.187824642401555	0.339316352579649
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	56	"Down"	0.190017157444603	0.339316352579649
"HALLMARK_PANCREAS_BETA_CELLS"	22	"Up"	0.210523028298343	0.362970738445419
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	93	"Down"	0.241946161223059	0.403243602038432
"HALLMARK_APICAL_JUNCTION"	142	"Down"	0.251212395191688	0.405181282567239
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	45	"Down"	0.274438203225229	0.42880969253942
"HALLMARK_BILE_ACID_METABOLISM"	76	"Down"	0.310206751622687	0.470010229731344
"HALLMARK_ALLOGRAFT_REJECTION"	109	"Down"	0.362638768124941	0.53329230606609
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	165	"Up"	0.38698250527474	0.552832150392485
"HALLMARK_COMPLEMENT"	141	"Down"	0.496133727489218	0.673615532447011
"HALLMARK_IL2_STAT5_SIGNALING"	148	"Down"	0.515624491372047	0.673615532447011
"HALLMARK_APOPTOSIS"	137	"Down"	0.518606530122095	0.673615532447011
"HALLMARK_HEME_METABOLISM"	160	"Down"	0.525420115308668	0.673615532447011
"HALLMARK_KRAS_SIGNALING_DN"	87	"Up"	0.556645713010941	0.695807141263676
"HALLMARK_NOTCH_SIGNALING"	27	"Down"	0.592121531337948	0.722099428460912
"HALLMARK_SPERMATOGENESIS"	74	"Down"	0.616146498352681	0.733507736134144
"HALLMARK_TGF_BETA_SIGNALING"	50	"Up"	0.709105342897906	0.824541096392914
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	172	"Up"	0.83043344506601	0.922829238948053
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	109	"Down"	0.853805484869514	0.922829238948053
"HALLMARK_APICAL_SURFACE"	32	"Down"	0.863530049835588	0.922829238948053
"HALLMARK_KRAS_SIGNALING_UP"	140	"Down"	0.86745948461117	0.922829238948053
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	40	"Down"	0.936595709833355	0.956278129836198
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	124	"Up"	0.937152567239474	0.956278129836198
"HALLMARK_MYOGENESIS"	123	"Down"	0.983024411493128	0.983024411493128
