"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	124	"Up"	8.20246719898471e-06	0.000410123359949235
"HALLMARK_E2F_TARGETS"	198	"Down"	2.42672676528526e-05	0.000606681691321316
"HALLMARK_G2M_CHECKPOINT"	195	"Down"	0.00207645614547082	0.0346076024245137
"HALLMARK_MYOGENESIS"	123	"Up"	0.00423606254104993	0.0523207820676397
"HALLMARK_MYC_TARGETS_V1"	199	"Down"	0.00523207820676397	0.0523207820676397
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	154	"Down"	0.0112699588768969	0.0939163239741405
"HALLMARK_HEDGEHOG_SIGNALING"	27	"Up"	0.0154178723455485	0.11012765961106
"HALLMARK_APICAL_JUNCTION"	142	"Up"	0.0204559403085356	0.113802148244143
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	200	"Down"	0.0204843866839458	0.113802148244143
"HALLMARK_MYC_TARGETS_V2"	58	"Down"	0.0233202291210428	0.116601145605214
"HALLMARK_ADIPOGENESIS"	177	"Down"	0.029127916132571	0.132399618784414
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	85	"Down"	0.0411228183332309	0.163879706538168
"HALLMARK_KRAS_SIGNALING_DN"	87	"Up"	0.0439896819868145	0.163879706538168
"HALLMARK_MTORC1_SIGNALING"	196	"Down"	0.0458863178306872	0.163879706538168
"HALLMARK_FATTY_ACID_METABOLISM"	140	"Down"	0.0501785700561126	0.167261900187042
"HALLMARK_PROTEIN_SECRETION"	94	"Down"	0.081388049216141	0.253626320337056
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	165	"Down"	0.086232948914599	0.253626320337056
"HALLMARK_INFLAMMATORY_RESPONSE"	110	"Down"	0.0927588319580488	0.257663422105691
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	56	"Down"	0.126922129210843	0.334005603186428
"HALLMARK_DNA_REPAIR"	146	"Down"	0.181246895509672	0.442105932918295
"HALLMARK_APICAL_SURFACE"	32	"Up"	0.185684491825684	0.442105932918295
"HALLMARK_PANCREAS_BETA_CELLS"	22	"Up"	0.206880121996214	0.470182095445942
"HALLMARK_XENOBIOTIC_METABOLISM"	157	"Down"	0.253447981707351	0.55097387327685
"HALLMARK_ANDROGEN_RESPONSE"	90	"Down"	0.278799855803238	0.580833032923413
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	172	"Up"	0.345294141422085	0.690588282844171
"HALLMARK_APOPTOSIS"	137	"Down"	0.432644595374723	0.706439584967431
"HALLMARK_NOTCH_SIGNALING"	27	"Up"	0.444889386879403	0.706439584967431
"HALLMARK_IL2_STAT5_SIGNALING"	148	"Up"	0.456536802815558	0.706439584967431
"HALLMARK_GLYCOLYSIS"	177	"Down"	0.456843104944825	0.706439584967431
"HALLMARK_BILE_ACID_METABOLISM"	76	"Down"	0.467892720691355	0.706439584967431
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	72	"Down"	0.483957259874342	0.706439584967431
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	93	"Down"	0.499932774674033	0.706439584967431
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	40	"Up"	0.508444594347621	0.706439584967431
"HALLMARK_P53_PATHWAY"	191	"Down"	0.509006892273197	0.706439584967431
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	109	"Down"	0.518609190554349	0.706439584967431
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	45	"Down"	0.528632697797438	0.706439584967431
"HALLMARK_SPERMATOGENESIS"	74	"Down"	0.531355314440118	0.706439584967431
"HALLMARK_ALLOGRAFT_REJECTION"	109	"Down"	0.554185215526589	0.706439584967431
"HALLMARK_HEME_METABOLISM"	160	"Down"	0.554981759401729	0.706439584967431
"HALLMARK_HYPOXIA"	161	"Down"	0.565151667973945	0.706439584967431
"HALLMARK_UV_RESPONSE_UP"	139	"Down"	0.654052715289319	0.797625262547951
"HALLMARK_ANGIOGENESIS"	21	"Up"	0.708303496298886	0.826873995798674
"HALLMARK_PEROXISOME"	91	"Down"	0.711111636386859	0.826873995798674
"HALLMARK_KRAS_SIGNALING_UP"	140	"Up"	0.778881004433918	0.878852004897202
"HALLMARK_ESTROGEN_RESPONSE_LATE"	170	"Down"	0.797008595977434	0.878852004897202
"HALLMARK_COMPLEMENT"	141	"Down"	0.808543844505426	0.878852004897202
"HALLMARK_TGF_BETA_SIGNALING"	50	"Down"	0.830123970162069	0.883110606555392
"HALLMARK_MITOTIC_SPINDLE"	197	"Down"	0.892202055388738	0.929377141029936
"HALLMARK_COAGULATION"	78	"Up"	0.93621983198287	0.955326359166194
"HALLMARK_UV_RESPONSE_DN"	120	"Up"	0.964096953377778	0.964096953377778
