"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	200	"Down"	2.86429715557039e-06	0.000127726359301295
"HALLMARK_FATTY_ACID_METABOLISM"	140	"Down"	5.10905437205182e-06	0.000127726359301295
"HALLMARK_E2F_TARGETS"	198	"Down"	8.68938765538831e-06	0.000144823127589805
"HALLMARK_MYC_TARGETS_V1"	199	"Down"	1.56298647702943e-05	0.000195373309628679
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	85	"Down"	4.50574886633203e-05	0.000450574886633203
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	154	"Down"	9.36887435067149e-05	0.000780739529222624
"HALLMARK_ADIPOGENESIS"	177	"Down"	0.000836161512985748	0.00597258223561248
"HALLMARK_MTORC1_SIGNALING"	196	"Down"	0.00150465806329956	0.00940411289562226
"HALLMARK_G2M_CHECKPOINT"	195	"Down"	0.00837249318561092	0.0440200963123664
"HALLMARK_MYC_TARGETS_V2"	58	"Down"	0.00895767388040761	0.0440200963123664
"HALLMARK_XENOBIOTIC_METABOLISM"	157	"Down"	0.0096844211887206	0.0440200963123664
"HALLMARK_GLYCOLYSIS"	177	"Down"	0.0117908663712427	0.0491286098801778
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	72	"Down"	0.0248976642158469	0.0957602469840266
"HALLMARK_HEDGEHOG_SIGNALING"	27	"Up"	0.0296332499967066	0.105833035702524
"HALLMARK_PROTEIN_SECRETION"	94	"Down"	0.0371120828902789	0.123706942967596
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	124	"Up"	0.0478450798520628	0.149515874537696
"HALLMARK_ESTROGEN_RESPONSE_LATE"	170	"Down"	0.0599863170665939	0.176430344313511
"HALLMARK_INFLAMMATORY_RESPONSE"	110	"Down"	0.0699570914927853	0.194325254146626
"HALLMARK_PEROXISOME"	91	"Down"	0.075714102206942	0.19924763738669
"HALLMARK_ANDROGEN_RESPONSE"	90	"Down"	0.0800120597055486	0.200030149263872
"HALLMARK_DNA_REPAIR"	146	"Down"	0.089053755971228	0.212032752312448
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	56	"Down"	0.104343499780892	0.237144317683846
"HALLMARK_COAGULATION"	78	"Down"	0.123749830343016	0.269021370310905
"HALLMARK_PANCREAS_BETA_CELLS"	22	"Up"	0.144030824183256	0.30006421704845
"HALLMARK_KRAS_SIGNALING_DN"	87	"Up"	0.161095161999662	0.313620271315049
"HALLMARK_P53_PATHWAY"	191	"Down"	0.163082541083826	0.313620271315049
"HALLMARK_MYOGENESIS"	123	"Up"	0.21438299447108	0.383289198976008
"HALLMARK_HYPOXIA"	161	"Down"	0.214641951426565	0.383289198976008
"HALLMARK_UV_RESPONSE_UP"	139	"Down"	0.235440457517676	0.405931823306338
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	93	"Down"	0.262646624325828	0.43774437387638
"HALLMARK_BILE_ACID_METABOLISM"	76	"Down"	0.286296990803771	0.449496059059546
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	45	"Down"	0.28767747779811	0.449496059059546
"HALLMARK_UV_RESPONSE_DN"	120	"Up"	0.302968325460264	0.457133568050592
"HALLMARK_ANGIOGENESIS"	21	"Down"	0.319755247948915	0.457133568050592
"HALLMARK_MITOTIC_SPINDLE"	197	"Up"	0.319993497635414	0.457133568050592
"HALLMARK_ALLOGRAFT_REJECTION"	109	"Down"	0.342654142884177	0.47590853178358
"HALLMARK_APOPTOSIS"	137	"Down"	0.379723825609737	0.513140304878024
"HALLMARK_HEME_METABOLISM"	160	"Down"	0.468625958109291	0.616613102775383
"HALLMARK_SPERMATOGENESIS"	74	"Down"	0.500121869890292	0.641181884474733
"HALLMARK_COMPLEMENT"	141	"Down"	0.546540011379963	0.683175014224954
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	172	"Up"	0.577584286656376	0.704371081288263
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	109	"Down"	0.651128229984853	0.775152654743872
"HALLMARK_APICAL_SURFACE"	32	"Up"	0.670129161267088	0.77921995496173
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	40	"Up"	0.805716840756432	0.9155873190414
"HALLMARK_APICAL_JUNCTION"	142	"Up"	0.857628058300922	0.93323492555195
"HALLMARK_IL2_STAT5_SIGNALING"	148	"Down"	0.866171629029974	0.93323492555195
"HALLMARK_TGF_BETA_SIGNALING"	50	"Up"	0.877240830018833	0.93323492555195
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	165	"Down"	0.914386915809528	0.952486370634926
"HALLMARK_NOTCH_SIGNALING"	27	"Down"	0.93582963130828	0.954928195212531
"HALLMARK_KRAS_SIGNALING_UP"	140	"Down"	0.993028166723137	0.993028166723137
