"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_E2F_TARGETS"	198	"Down"	2.67883751635577e-06	0.000133941875817789
"HALLMARK_MYC_TARGETS_V1"	199	"Down"	9.27281233760387e-05	0.00178947012874298
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	200	"Down"	0.000107368207724579	0.00178947012874298
"HALLMARK_FATTY_ACID_METABOLISM"	140	"Down"	0.000385226681357687	0.00479585018920706
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	124	"Up"	0.000550674423012442	0.00479585018920706
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	154	"Down"	0.000575502022704847	0.00479585018920706
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	85	"Down"	0.00112187635283099	0.00801340252022134
"HALLMARK_G2M_CHECKPOINT"	195	"Down"	0.00199738744042876	0.0124836715026798
"HALLMARK_ADIPOGENESIS"	177	"Down"	0.00260798079151909	0.0144887821751061
"HALLMARK_MTORC1_SIGNALING"	196	"Down"	0.00432388022276725	0.0216194011138362
"HALLMARK_MYC_TARGETS_V2"	58	"Down"	0.0076928089171809	0.0349673132599132
"HALLMARK_HEDGEHOG_SIGNALING"	27	"Up"	0.0125666829674864	0.0523611790311934
"HALLMARK_MYOGENESIS"	123	"Up"	0.0276526151502433	0.10635621211632
"HALLMARK_PROTEIN_SECRETION"	94	"Down"	0.0356554011426285	0.12734071836653
"HALLMARK_XENOBIOTIC_METABOLISM"	157	"Down"	0.0419325556670926	0.139775185556975
"HALLMARK_KRAS_SIGNALING_DN"	87	"Up"	0.0598066765686909	0.186895864277159
"HALLMARK_INFLAMMATORY_RESPONSE"	110	"Down"	0.0679156117201758	0.198333142601247
"HALLMARK_GLYCOLYSIS"	177	"Down"	0.0713999313364491	0.198333142601247
"HALLMARK_DNA_REPAIR"	146	"Down"	0.0920012573286772	0.231708721654254
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	56	"Down"	0.0938072825683912	0.231708721654254
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	72	"Down"	0.0973176630947869	0.231708721654254
"HALLMARK_ANDROGEN_RESPONSE"	90	"Down"	0.124820362809628	0.282737970010994
"HALLMARK_PANCREAS_BETA_CELLS"	22	"Up"	0.130059466205057	0.282737970010994
"HALLMARK_APICAL_JUNCTION"	142	"Up"	0.183755316637955	0.382823576329073
"HALLMARK_PEROXISOME"	91	"Down"	0.226816517119758	0.453633034239517
"HALLMARK_ESTROGEN_RESPONSE_LATE"	170	"Down"	0.24116671230335	0.463782139044905
"HALLMARK_P53_PATHWAY"	191	"Down"	0.263182171548064	0.487374391755673
"HALLMARK_HYPOXIA"	161	"Down"	0.318901691833607	0.539354858594052
"HALLMARK_BILE_ACID_METABOLISM"	76	"Down"	0.325747169605693	0.539354858594052
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	93	"Down"	0.329477006945328	0.539354858594052
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	45	"Down"	0.346872083854626	0.539354858594052
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	165	"Down"	0.352605043448636	0.539354858594052
"HALLMARK_APICAL_SURFACE"	32	"Up"	0.362255510358327	0.539354858594052
"HALLMARK_APOPTOSIS"	137	"Down"	0.369447721267017	0.539354858594052
"HALLMARK_UV_RESPONSE_UP"	139	"Down"	0.377548401015836	0.539354858594052
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	172	"Up"	0.426275417943975	0.57680903295021
"HALLMARK_ALLOGRAFT_REJECTION"	109	"Down"	0.432687061506475	0.57680903295021
"HALLMARK_COAGULATION"	78	"Down"	0.438374865042159	0.57680903295021
"HALLMARK_HEME_METABOLISM"	160	"Down"	0.465768226829894	0.592482645777016
"HALLMARK_SPERMATOGENESIS"	74	"Down"	0.473986116621612	0.592482645777016
"HALLMARK_UV_RESPONSE_DN"	120	"Up"	0.49212089137017	0.600147428500207
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	109	"Down"	0.524468453817487	0.624367206925579
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	40	"Up"	0.636864329296985	0.730078827666757
"HALLMARK_MITOTIC_SPINDLE"	197	"Up"	0.642469368346746	0.730078827666757
"HALLMARK_ANGIOGENESIS"	21	"Down"	0.678046255024531	0.753384727805034
"HALLMARK_COMPLEMENT"	141	"Down"	0.703863472520417	0.765068991870018
"HALLMARK_NOTCH_SIGNALING"	27	"Up"	0.741652790450212	0.774848023751704
"HALLMARK_IL2_STAT5_SIGNALING"	148	"Up"	0.743854102801636	0.774848023751704
"HALLMARK_KRAS_SIGNALING_UP"	140	"Up"	0.862815581974547	0.880424063239333
"HALLMARK_TGF_BETA_SIGNALING"	50	"Down"	0.98393744205901	0.98393744205901
