"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_FATTY_ACID_METABOLISM"	140	"Up"	3.20260633055361e-05	0.00160130316527681
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	200	"Up"	0.000108385367487389	0.00270963418718472
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	85	"Up"	0.000399059549554625	0.00665099249257708
"HALLMARK_MYC_TARGETS_V1"	199	"Up"	0.00611280745079066	0.0622586131245022
"HALLMARK_GLYCOLYSIS"	177	"Up"	0.00753947082313529	0.0622586131245022
"HALLMARK_APICAL_JUNCTION"	142	"Up"	0.00850782303444632	0.0622586131245022
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	154	"Up"	0.00873401864591895	0.0622586131245022
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	124	"Up"	0.00996137809992035	0.0622586131245022
"HALLMARK_ESTROGEN_RESPONSE_LATE"	170	"Up"	0.0176830341127232	0.0975126210771082
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	72	"Up"	0.0196864836721414	0.0975126210771082
"HALLMARK_XENOBIOTIC_METABOLISM"	157	"Up"	0.0226146994996806	0.0975126210771082
"HALLMARK_COAGULATION"	78	"Up"	0.023403029058506	0.0975126210771082
"HALLMARK_PEROXISOME"	91	"Up"	0.0330173163626872	0.126989678318028
"HALLMARK_ADIPOGENESIS"	177	"Up"	0.0410780117759352	0.137939178995696
"HALLMARK_MTORC1_SIGNALING"	196	"Up"	0.0413817536987088	0.137939178995696
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	165	"Down"	0.0465083742008545	0.14533866937767
"HALLMARK_ANGIOGENESIS"	21	"Up"	0.0704358458825335	0.207164252595687
"HALLMARK_MYOGENESIS"	123	"Up"	0.076708136937048	0.213078158158467
"HALLMARK_MITOTIC_SPINDLE"	197	"Down"	0.11493476617966	0.302459910999106
"HALLMARK_UV_RESPONSE_DN"	120	"Down"	0.13595071621005	0.339876790525124
"HALLMARK_P53_PATHWAY"	191	"Up"	0.234661825992562	0.54309223511769
"HALLMARK_ANDROGEN_RESPONSE"	90	"Up"	0.245450334232001	0.54309223511769
"HALLMARK_E2F_TARGETS"	198	"Up"	0.268770615747001	0.54309223511769
"HALLMARK_UV_RESPONSE_UP"	139	"Up"	0.272879703271651	0.54309223511769
"HALLMARK_NOTCH_SIGNALING"	27	"Up"	0.287461852102315	0.54309223511769
"HALLMARK_IL2_STAT5_SIGNALING"	148	"Up"	0.289843230298595	0.54309223511769
"HALLMARK_HYPOXIA"	161	"Up"	0.293269806963552	0.54309223511769
"HALLMARK_APICAL_SURFACE"	32	"Up"	0.320019427981318	0.571463264252354
"HALLMARK_MYC_TARGETS_V2"	58	"Up"	0.339370096499428	0.585120856033497
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	93	"Up"	0.388133719167284	0.635810335678411
"HALLMARK_PROTEIN_SECRETION"	94	"Up"	0.397061682717494	0.635810335678411
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	45	"Up"	0.406918614834183	0.635810335678411
"HALLMARK_DNA_REPAIR"	146	"Up"	0.420298558692086	0.636815998018312
"HALLMARK_BILE_ACID_METABOLISM"	76	"Up"	0.502241811597347	0.738590899407864
"HALLMARK_PANCREAS_BETA_CELLS"	22	"Down"	0.5335387601174	0.762198228739143
"HALLMARK_ALLOGRAFT_REJECTION"	109	"Up"	0.574763418973472	0.785859789527955
"HALLMARK_TGF_BETA_SIGNALING"	50	"Down"	0.596210759876331	0.785859789527955
"HALLMARK_KRAS_SIGNALING_DN"	87	"Up"	0.597253440041245	0.785859789527955
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	40	"Up"	0.628411752144161	0.788799145269694
"HALLMARK_COMPLEMENT"	141	"Up"	0.640035476844194	0.788799145269694
"HALLMARK_INFLAMMATORY_RESPONSE"	110	"Up"	0.646815299121149	0.788799145269694
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	56	"Up"	0.666170338402536	0.793059926669686
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	172	"Up"	0.737984952751316	0.858122038082926
"HALLMARK_HEME_METABOLISM"	160	"Up"	0.755831986491565	0.858899984649506
"HALLMARK_HEDGEHOG_SIGNALING"	27	"Down"	0.777688719547103	0.864098577274559
"HALLMARK_KRAS_SIGNALING_UP"	140	"Up"	0.809312159584316	0.879687129982953
"HALLMARK_APOPTOSIS"	137	"Up"	0.874980568305769	0.930830391814648
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	109	"Down"	0.90097802070466	0.938518771567355
"HALLMARK_SPERMATOGENESIS"	74	"Up"	0.928417899428796	0.947365203498771
"HALLMARK_G2M_CHECKPOINT"	195	"Down"	0.954734288222742	0.954734288222742
