"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_E2F_TARGETS"	198	"Up"	9.19877013452517e-36	4.59938506726258e-34
"HALLMARK_G2M_CHECKPOINT"	195	"Up"	9.63429900815987e-28	2.40857475203997e-26
"HALLMARK_P53_PATHWAY"	191	"Down"	4.10348130143762e-08	6.83913550239603e-07
"HALLMARK_MITOTIC_SPINDLE"	197	"Up"	1.83937055549216e-06	2.2992131943652e-05
"HALLMARK_SPERMATOGENESIS"	74	"Up"	0.000260247209813799	0.00260247209813799
"HALLMARK_MYC_TARGETS_V1"	199	"Up"	0.000382317127924529	0.00318597606603774
"HALLMARK_MTORC1_SIGNALING"	196	"Up"	0.0056074066306243	0.0354918063990654
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	165	"Down"	0.00567868902385047	0.0354918063990654
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	85	"Down"	0.0154703904724781	0.0845052237982436
"HALLMARK_ANGIOGENESIS"	21	"Down"	0.0169010447596487	0.0845052237982436
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	154	"Down"	0.0349382925704626	0.150019139344115
"HALLMARK_PROTEIN_SECRETION"	94	"Down"	0.0360045934425876	0.150019139344115
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	124	"Down"	0.0492321534822069	0.189354436470026
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	72	"Up"	0.055556851439029	0.198417326567961
"HALLMARK_ESTROGEN_RESPONSE_LATE"	170	"Up"	0.0668026547443883	0.216461819239781
"HALLMARK_INFLAMMATORY_RESPONSE"	110	"Down"	0.0692677821567299	0.216461819239781
"HALLMARK_APICAL_JUNCTION"	142	"Down"	0.0858801632263835	0.252588715371716
"HALLMARK_COAGULATION"	78	"Down"	0.127198845677598	0.353330126882216
"HALLMARK_KRAS_SIGNALING_UP"	140	"Down"	0.147273668626	0.387562285857896
"HALLMARK_BILE_ACID_METABOLISM"	76	"Up"	0.16893933387013	0.392988832001629
"HALLMARK_PANCREAS_BETA_CELLS"	22	"Up"	0.169241750320196	0.392988832001629
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	45	"Up"	0.175234179369848	0.392988832001629
"HALLMARK_APOPTOSIS"	137	"Down"	0.180774862720749	0.392988832001629
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	40	"Down"	0.208926780585663	0.430682380737537
"HALLMARK_DNA_REPAIR"	146	"Up"	0.215341190368769	0.430682380737537
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	56	"Down"	0.256192782559825	0.492678427999664
"HALLMARK_UV_RESPONSE_DN"	120	"Down"	0.274301084864285	0.507964971970898
"HALLMARK_TGF_BETA_SIGNALING"	50	"Down"	0.308369396732814	0.550659637022882
"HALLMARK_KRAS_SIGNALING_DN"	87	"Up"	0.31953117238184	0.550915814451448
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	109	"Up"	0.34220514814369	0.570341913572817
"HALLMARK_GLYCOLYSIS"	177	"Up"	0.376410172652003	0.602844063982684
"HALLMARK_APICAL_SURFACE"	32	"Up"	0.398503272101887	0.602844063982684
"HALLMARK_HEDGEHOG_SIGNALING"	27	"Down"	0.408638017606744	0.602844063982684
"HALLMARK_PEROXISOME"	91	"Up"	0.409933963508225	0.602844063982684
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	200	"Up"	0.433335162929968	0.605722315369535
"HALLMARK_UV_RESPONSE_UP"	139	"Up"	0.436120067066065	0.605722315369535
"HALLMARK_ADIPOGENESIS"	177	"Down"	0.495729120566978	0.65912380996913
"HALLMARK_ALLOGRAFT_REJECTION"	109	"Down"	0.500934095576539	0.65912380996913
"HALLMARK_NOTCH_SIGNALING"	27	"Down"	0.520736802538965	0.660150152165744
"HALLMARK_HEME_METABOLISM"	160	"Down"	0.528120121732596	0.660150152165744
"HALLMARK_MYOGENESIS"	123	"Down"	0.576992617349245	0.703649533352738
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	93	"Down"	0.646449348265405	0.769582557458815
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	172	"Up"	0.683766436572942	0.795077251829003
"HALLMARK_IL2_STAT5_SIGNALING"	148	"Down"	0.703533143602532	0.799469481366514
"HALLMARK_COMPLEMENT"	141	"Down"	0.720006184444163	0.800006871604626
"HALLMARK_HYPOXIA"	161	"Down"	0.817779435182715	0.888890690415995
"HALLMARK_FATTY_ACID_METABOLISM"	140	"Up"	0.863764614841896	0.89173742241116
"HALLMARK_XENOBIOTIC_METABOLISM"	157	"Down"	0.871500914384637	0.89173742241116
"HALLMARK_MYC_TARGETS_V2"	58	"Down"	0.873902673962937	0.89173742241116
"HALLMARK_ANDROGEN_RESPONSE"	90	"Up"	0.934836058832152	0.934836058832152
