"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	124	"Up"	7.03633017150943e-06	0.000351816508575471
"HALLMARK_G2M_CHECKPOINT"	195	"Up"	2.23063768774115e-05	0.000500390075186876
"HALLMARK_E2F_TARGETS"	198	"Up"	3.00234045112126e-05	0.000500390075186876
"HALLMARK_MYOGENESIS"	123	"Up"	0.000961944264411436	0.0112993774409466
"HALLMARK_MITOTIC_SPINDLE"	197	"Up"	0.00112993774409466	0.0112993774409466
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	154	"Down"	0.004160395927777	0.0346699660648083
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	200	"Down"	0.00511975322502374	0.0357028097728882
"HALLMARK_APICAL_JUNCTION"	142	"Up"	0.00632285703997277	0.0357028097728882
"HALLMARK_KRAS_SIGNALING_DN"	87	"Up"	0.00642650575911988	0.0357028097728882
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	85	"Down"	0.00873726092623356	0.0436863046311678
"HALLMARK_MYC_TARGETS_V2"	58	"Down"	0.0268006588605623	0.12182117663892
"HALLMARK_PROTEIN_SECRETION"	94	"Down"	0.0316810555188927	0.132004397995386
"HALLMARK_HEDGEHOG_SIGNALING"	27	"Up"	0.0458534709015755	0.176359503467598
"HALLMARK_ADIPOGENESIS"	177	"Down"	0.0546522833795819	0.19518672635565
"HALLMARK_APICAL_SURFACE"	32	"Up"	0.0721708653964842	0.233643597299543
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	165	"Down"	0.0747659511358536	0.233643597299543
"HALLMARK_SPERMATOGENESIS"	74	"Up"	0.0931589637581755	0.273996952229928
"HALLMARK_INFLAMMATORY_RESPONSE"	110	"Down"	0.0993560416548083	0.27598900459669
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	56	"Down"	0.12593563279849	0.331409559996026
"HALLMARK_P53_PATHWAY"	191	"Down"	0.133590037864319	0.333975094660798
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	172	"Up"	0.150625244040352	0.346110183822696
"HALLMARK_ESTROGEN_RESPONSE_LATE"	170	"Up"	0.152288480881986	0.346110183822696
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	72	"Up"	0.163020127514582	0.354391581553439
"HALLMARK_HYPOXIA"	161	"Up"	0.177476989848535	0.369743728851115
"HALLMARK_IL2_STAT5_SIGNALING"	148	"Up"	0.206385922165426	0.412771844330852
"HALLMARK_GLYCOLYSIS"	177	"Up"	0.244346032858383	0.466735259706585
"HALLMARK_MTORC1_SIGNALING"	196	"Up"	0.252037040241556	0.466735259706585
"HALLMARK_ALLOGRAFT_REJECTION"	109	"Down"	0.292662857199601	0.522612244999287
"HALLMARK_NOTCH_SIGNALING"	27	"Up"	0.333835615497981	0.575578647410312
"HALLMARK_PANCREAS_BETA_CELLS"	22	"Up"	0.359438268035092	0.599063780058487
"HALLMARK_XENOBIOTIC_METABOLISM"	157	"Down"	0.383809513455441	0.619047602347485
"HALLMARK_FATTY_ACID_METABOLISM"	140	"Down"	0.407304812639008	0.636413769748449
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	109	"Up"	0.508373655235066	0.762319763629904
"HALLMARK_MYC_TARGETS_V1"	199	"Down"	0.518377439268334	0.762319763629904
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	40	"Up"	0.627374477086959	0.875373154629307
"HALLMARK_UV_RESPONSE_UP"	139	"Up"	0.630268671333101	0.875373154629307
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	45	"Up"	0.675583935360436	0.912951264000589
"HALLMARK_COMPLEMENT"	141	"Down"	0.727444391608231	0.916044677426875
"HALLMARK_BILE_ACID_METABOLISM"	76	"Down"	0.733641265090188	0.916044677426875
"HALLMARK_UV_RESPONSE_DN"	120	"Down"	0.738932425412901	0.916044677426875
"HALLMARK_DNA_REPAIR"	146	"Down"	0.763093557429148	0.916044677426875
"HALLMARK_ANDROGEN_RESPONSE"	90	"Down"	0.769477529038575	0.916044677426875
"HALLMARK_PEROXISOME"	91	"Up"	0.855433187950637	0.97425614277348
"HALLMARK_HEME_METABOLISM"	160	"Down"	0.860062327594516	0.97425614277348
"HALLMARK_COAGULATION"	78	"Down"	0.876830528496132	0.97425614277348
"HALLMARK_APOPTOSIS"	137	"Down"	0.931570961107178	0.998304191230422
"HALLMARK_TGF_BETA_SIGNALING"	50	"Down"	0.95998430603924	0.998304191230422
"HALLMARK_ANGIOGENESIS"	21	"Up"	0.986851555693049	0.998304191230422
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	93	"Down"	0.991876855785405	0.998304191230422
"HALLMARK_KRAS_SIGNALING_UP"	140	"Down"	0.998304191230422	0.998304191230422
