"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_E2F_TARGETS"	198	"Up"	3.8374669978797e-32	1.91873349893985e-30
"HALLMARK_G2M_CHECKPOINT"	195	"Up"	4.72453353708798e-26	1.18113338427199e-24
"HALLMARK_MITOTIC_SPINDLE"	197	"Up"	3.5399385926137e-07	5.89989765435617e-06
"HALLMARK_P53_PATHWAY"	191	"Down"	1.68601876208707e-06	2.10752345260883e-05
"HALLMARK_SPERMATOGENESIS"	74	"Up"	0.000305754975844408	0.00305754975844408
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	85	"Down"	0.0044380718232639	0.0317459342000698
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	165	"Down"	0.00444443078800977	0.0317459342000698
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	154	"Down"	0.00705486042468263	0.0398751822293583
"HALLMARK_MTORC1_SIGNALING"	196	"Up"	0.00717753280128449	0.0398751822293583
"HALLMARK_MYC_TARGETS_V1"	199	"Up"	0.00933616171626507	0.0466808085813254
"HALLMARK_PROTEIN_SECRETION"	94	"Down"	0.0131138591012329	0.0596084504601498
"HALLMARK_ESTROGEN_RESPONSE_LATE"	170	"Up"	0.0381019025036254	0.143098802506974
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	72	"Up"	0.039431218503139	0.143098802506974
"HALLMARK_INFLAMMATORY_RESPONSE"	110	"Down"	0.0400676647019527	0.143098802506974
"HALLMARK_ANGIOGENESIS"	21	"Down"	0.0635815897067006	0.211938632355669
"HALLMARK_KRAS_SIGNALING_DN"	87	"Up"	0.0731194498307625	0.228498280721133
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	56	"Down"	0.150282093565803	0.429776628580379
"HALLMARK_PANCREAS_BETA_CELLS"	22	"Up"	0.154719586288936	0.429776628580379
"HALLMARK_APICAL_SURFACE"	32	"Up"	0.184738581144448	0.486154160906443
"HALLMARK_COAGULATION"	78	"Down"	0.205721552826763	0.500243158369035
"HALLMARK_ADIPOGENESIS"	177	"Down"	0.210102126514995	0.500243158369035
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	45	"Up"	0.229974856832654	0.522670129165123
"HALLMARK_KRAS_SIGNALING_UP"	140	"Down"	0.249439003386288	0.54225870301367
"HALLMARK_GLYCOLYSIS"	177	"Up"	0.262177588816068	0.546203310033475
"HALLMARK_APOPTOSIS"	137	"Down"	0.280567816824338	0.561135633648676
"HALLMARK_BILE_ACID_METABOLISM"	76	"Up"	0.296039686499193	0.569307089421525
"HALLMARK_UV_RESPONSE_DN"	120	"Down"	0.307912506313536	0.570208345025067
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	109	"Up"	0.325068555554384	0.580479563489972
"HALLMARK_DNA_REPAIR"	146	"Up"	0.358247275802228	0.589129335994517
"HALLMARK_MYC_TARGETS_V2"	58	"Down"	0.365576362973926	0.589129335994517
"HALLMARK_ALLOGRAFT_REJECTION"	109	"Down"	0.378996193674477	0.589129335994517
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	172	"Up"	0.380351915498635	0.589129335994517
"HALLMARK_TGF_BETA_SIGNALING"	50	"Down"	0.388825361756381	0.589129335994517
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	40	"Down"	0.416405268481902	0.612360688943974
"HALLMARK_UV_RESPONSE_UP"	139	"Up"	0.435489673826158	0.621441085181059
"HALLMARK_MYOGENESIS"	123	"Up"	0.447437581330363	0.621441085181059
"HALLMARK_PEROXISOME"	91	"Up"	0.465715707979284	0.629345551323356
"HALLMARK_HEME_METABOLISM"	160	"Down"	0.536803973588837	0.706321017880049
"HALLMARK_COMPLEMENT"	141	"Down"	0.623689091936575	0.794437682596812
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	200	"Down"	0.63555014607745	0.794437682596812
"HALLMARK_XENOBIOTIC_METABOLISM"	157	"Down"	0.658846952576641	0.803471893386147
"HALLMARK_APICAL_JUNCTION"	142	"Down"	0.679199901162539	0.808571310907784
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	93	"Down"	0.756476709653204	0.8615443751983
"HALLMARK_HYPOXIA"	161	"Up"	0.758159050174503	0.8615443751983
"HALLMARK_FATTY_ACID_METABOLISM"	140	"Down"	0.852430603821238	0.945502295533452
"HALLMARK_NOTCH_SIGNALING"	27	"Down"	0.869862111890776	0.945502295533452
"HALLMARK_IL2_STAT5_SIGNALING"	148	"Up"	0.901567134944334	0.959113973345036
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	124	"Up"	0.973957596926931	0.994731745192078
"HALLMARK_HEDGEHOG_SIGNALING"	27	"Up"	0.987245471643289	0.994731745192078
"HALLMARK_ANDROGEN_RESPONSE"	90	"Up"	0.994731745192078	0.994731745192078
