"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_E2F_TARGETS"	198	"Up"	1.14722346803233e-22	5.73611734016165e-21
"HALLMARK_G2M_CHECKPOINT"	195	"Up"	8.99238962107633e-20	2.24809740526908e-18
"HALLMARK_MITOTIC_SPINDLE"	197	"Up"	6.30926867635227e-07	1.05154477939204e-05
"HALLMARK_P53_PATHWAY"	191	"Down"	0.000233391540272647	0.00291739425340809
"HALLMARK_SPERMATOGENESIS"	74	"Up"	0.00121682010483802	0.0121682010483802
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	154	"Down"	0.00303381979251849	0.0252818316043208
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	85	"Down"	0.00361838380602759	0.0258455986144828
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	165	"Down"	0.00856257890877582	0.0535161181798489
"HALLMARK_PROTEIN_SECRETION"	94	"Down"	0.0101306237889908	0.0562812432721712
"HALLMARK_KRAS_SIGNALING_DN"	87	"Up"	0.0136723592991941	0.0683617964959707
"HALLMARK_MTORC1_SIGNALING"	196	"Up"	0.0214990409649983	0.0977229134772652
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	124	"Up"	0.0333871581502562	0.139113158959401
"HALLMARK_ESTROGEN_RESPONSE_LATE"	170	"Up"	0.0396639929013137	0.143053020533738
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	72	"Up"	0.0430564424338101	0.143053020533738
"HALLMARK_INFLAMMATORY_RESPONSE"	110	"Down"	0.0431994126708504	0.143053020533738
"HALLMARK_MYOGENESIS"	123	"Up"	0.045776966570796	0.143053020533738
"HALLMARK_ADIPOGENESIS"	177	"Down"	0.0924185034527518	0.258576353525028
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	200	"Down"	0.0930874872690101	0.258576353525028
"HALLMARK_APICAL_SURFACE"	32	"Up"	0.103175963957034	0.271515694623774
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	56	"Down"	0.118011510611343	0.282246315826472
"HALLMARK_MYC_TARGETS_V2"	58	"Down"	0.118543452647118	0.282246315826472
"HALLMARK_PANCREAS_BETA_CELLS"	22	"Up"	0.179302444340873	0.407505555320165
"HALLMARK_MYC_TARGETS_V1"	199	"Up"	0.19762898871578	0.419565201684556
"HALLMARK_GLYCOLYSIS"	177	"Up"	0.201391296808587	0.419565201684556
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	172	"Up"	0.222163771117205	0.444327542234409
"HALLMARK_ANGIOGENESIS"	21	"Down"	0.233910819955599	0.449828499914614
"HALLMARK_APICAL_JUNCTION"	142	"Up"	0.323550278104455	0.599167181674917
"HALLMARK_ALLOGRAFT_REJECTION"	109	"Down"	0.351224582714899	0.611991091127759
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	45	"Up"	0.371772907707259	0.611991091127759
"HALLMARK_HEDGEHOG_SIGNALING"	27	"Up"	0.373612273911199	0.611991091127759
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	109	"Up"	0.379434476499211	0.611991091127759
"HALLMARK_HYPOXIA"	161	"Up"	0.416951058740362	0.640028018042587
"HALLMARK_UV_RESPONSE_DN"	120	"Down"	0.422418491908107	0.640028018042587
"HALLMARK_COAGULATION"	78	"Down"	0.441339990199893	0.649029397352784
"HALLMARK_KRAS_SIGNALING_UP"	140	"Down"	0.457103207966318	0.653004582809026
"HALLMARK_UV_RESPONSE_UP"	139	"Up"	0.472614949763742	0.656409652449642
"HALLMARK_XENOBIOTIC_METABOLISM"	157	"Down"	0.51005990249397	0.676853492672147
"HALLMARK_APOPTOSIS"	137	"Down"	0.517560378446072	0.676853492672147
"HALLMARK_IL2_STAT5_SIGNALING"	148	"Up"	0.527945724284274	0.676853492672147
"HALLMARK_TGF_BETA_SIGNALING"	50	"Down"	0.547507078708953	0.684383848386191
"HALLMARK_PEROXISOME"	91	"Up"	0.574015320798734	0.700018683900895
"HALLMARK_HEME_METABOLISM"	160	"Down"	0.59861001680217	0.703496092757424
"HALLMARK_BILE_ACID_METABOLISM"	76	"Up"	0.605006639771385	0.703496092757424
"HALLMARK_FATTY_ACID_METABOLISM"	140	"Down"	0.629762046510626	0.71563868921662
"HALLMARK_DNA_REPAIR"	146	"Up"	0.664073919635948	0.732940063976681
"HALLMARK_COMPLEMENT"	141	"Down"	0.674304858858547	0.732940063976681
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	40	"Down"	0.739475537853298	0.786676104099253
"HALLMARK_NOTCH_SIGNALING"	27	"Up"	0.755262521635618	0.786731793370435
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	93	"Down"	0.868181834185028	0.885899830801049
"HALLMARK_ANDROGEN_RESPONSE"	90	"Down"	0.908809492688843	0.908809492688843
