"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_E2F_TARGETS"	198	"Down"	2.03872349462925e-32	1.01936174731462e-30
"HALLMARK_G2M_CHECKPOINT"	195	"Down"	2.37727483719846e-24	5.94318709299615e-23
"HALLMARK_P53_PATHWAY"	191	"Up"	1.50093774018196e-07	2.50156290030326e-06
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	124	"Up"	2.6782942195737e-05	0.000334786777446712
"HALLMARK_MYC_TARGETS_V1"	199	"Down"	3.78634015699536e-05	0.000378634015699536
"HALLMARK_MITOTIC_SPINDLE"	197	"Down"	0.000116741115578822	0.000972842629823519
"HALLMARK_SPERMATOGENESIS"	74	"Down"	0.00070269472195749	0.00501924801398207
"HALLMARK_APICAL_JUNCTION"	142	"Up"	0.00149059394071666	0.00931621212947911
"HALLMARK_MTORC1_SIGNALING"	196	"Down"	0.0117015542706765	0.0650086348370919
"HALLMARK_ANGIOGENESIS"	21	"Up"	0.0142670971944136	0.0713354859720679
"HALLMARK_MYOGENESIS"	123	"Up"	0.0268660155055518	0.122118252297963
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	165	"Up"	0.0319305459467372	0.132935553255683
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	200	"Down"	0.0345632438464776	0.132935553255683
"HALLMARK_HEDGEHOG_SIGNALING"	27	"Up"	0.0608429509186471	0.217296253280882
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	40	"Up"	0.0966165471183623	0.322055157061208
"HALLMARK_BILE_ACID_METABOLISM"	76	"Down"	0.107749288475177	0.336716526484929
"HALLMARK_KRAS_SIGNALING_UP"	140	"Up"	0.1196116043644	0.351798836365882
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	72	"Down"	0.13373521384143	0.371486705115084
"HALLMARK_DNA_REPAIR"	146	"Down"	0.143548115003919	0.377758197378734
"HALLMARK_COAGULATION"	78	"Up"	0.162331975652269	0.405829939130674
"HALLMARK_ESTROGEN_RESPONSE_LATE"	170	"Down"	0.173807929750675	0.407164794699531
"HALLMARK_APOPTOSIS"	137	"Up"	0.179152509667793	0.407164794699531
"HALLMARK_PROTEIN_SECRETION"	94	"Up"	0.204899581780176	0.442526678533215
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	45	"Down"	0.221663414574085	0.442526678533215
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	85	"Up"	0.223576262269941	0.442526678533215
"HALLMARK_NOTCH_SIGNALING"	27	"Up"	0.230113872837272	0.442526678533215
"HALLMARK_INFLAMMATORY_RESPONSE"	110	"Up"	0.257755612987772	0.472138265028705
"HALLMARK_TGF_BETA_SIGNALING"	50	"Up"	0.265254589032327	0.472138265028705
"HALLMARK_PANCREAS_BETA_CELLS"	22	"Down"	0.273840193716649	0.472138265028705
"HALLMARK_IL2_STAT5_SIGNALING"	148	"Up"	0.31294175200931	0.521569586682183
"HALLMARK_UV_RESPONSE_DN"	120	"Up"	0.329188594633337	0.530949346182801
"HALLMARK_MYC_TARGETS_V2"	58	"Down"	0.375877301407163	0.579133414711412
"HALLMARK_HYPOXIA"	161	"Up"	0.384176473264537	0.579133414711412
"HALLMARK_PEROXISOME"	91	"Down"	0.39381072200376	0.579133414711412
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	154	"Up"	0.409841257102015	0.585487510145736
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	109	"Down"	0.508791606911182	0.688749374045685
"HALLMARK_UV_RESPONSE_UP"	139	"Down"	0.522538650478526	0.688749374045685
"HALLMARK_FATTY_ACID_METABOLISM"	140	"Down"	0.536811616975442	0.688749374045685
"HALLMARK_HEME_METABOLISM"	160	"Up"	0.537224511755635	0.688749374045685
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	93	"Up"	0.628697907459551	0.782782446533103
"HALLMARK_GLYCOLYSIS"	177	"Down"	0.641881606157145	0.782782446533103
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	56	"Up"	0.679208167938344	0.808581152307553
"HALLMARK_XENOBIOTIC_METABOLISM"	157	"Down"	0.790697734709075	0.885351659022954
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	172	"Up"	0.795162058487308	0.885351659022954
"HALLMARK_ANDROGEN_RESPONSE"	90	"Down"	0.796816493120658	0.885351659022954
"HALLMARK_ADIPOGENESIS"	177	"Down"	0.858371925551322	0.933012962555785
"HALLMARK_ALLOGRAFT_REJECTION"	109	"Up"	0.901984838331291	0.937589174597534
"HALLMARK_COMPLEMENT"	141	"Up"	0.907580248276087	0.937589174597534
"HALLMARK_KRAS_SIGNALING_DN"	87	"Up"	0.918837391105583	0.937589174597534
"HALLMARK_APICAL_SURFACE"	32	"Down"	0.967312021421925	0.967312021421925
