"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_MYC_TARGETS_V2"	58	"Down"	3.19041753461875e-07	8.28229325033289e-06
"HALLMARK_MYC_TARGETS_V1"	199	"Down"	3.31291730013316e-07	8.28229325033289e-06
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	109	"Down"	8.91631452583093e-06	0.000148605242097182
"HALLMARK_MTORC1_SIGNALING"	196	"Down"	3.77409030567766e-05	0.000471761288209707
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	165	"Up"	8.89186785682635e-05	0.000782232062181617
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	200	"Down"	9.38678474617941e-05	0.000782232062181617
"HALLMARK_ADIPOGENESIS"	177	"Down"	0.000372597516822319	0.00263133075640617
"HALLMARK_GLYCOLYSIS"	177	"Down"	0.000421012921024987	0.00263133075640617
"HALLMARK_FATTY_ACID_METABOLISM"	140	"Down"	0.000646367118355069	0.00359092843530594
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	124	"Up"	0.000889548349156417	0.00409920147135752
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	56	"Up"	0.000901824323698654	0.00409920147135752
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	85	"Up"	0.00147112220680513	0.00612967586168802
"HALLMARK_APOPTOSIS"	137	"Up"	0.00400222399003874	0.0151749883632807
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	154	"Up"	0.00424899674171859	0.0151749883632807
"HALLMARK_UV_RESPONSE_UP"	139	"Up"	0.0107272518881285	0.0357575062937615
"HALLMARK_TGF_BETA_SIGNALING"	50	"Up"	0.0115110073563805	0.0359718979886891
"HALLMARK_INFLAMMATORY_RESPONSE"	110	"Up"	0.0129451099179707	0.0377748601396455
"HALLMARK_E2F_TARGETS"	198	"Up"	0.0135989496502724	0.0377748601396455
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	72	"Down"	0.0185252139272029	0.0487505629663235
"HALLMARK_MITOTIC_SPINDLE"	197	"Up"	0.0208617193715172	0.052154298428793
"HALLMARK_COMPLEMENT"	141	"Up"	0.0428168023682966	0.101944767543563
"HALLMARK_XENOBIOTIC_METABOLISM"	157	"Down"	0.0551072153810792	0.121359033978946
"HALLMARK_MYOGENESIS"	123	"Up"	0.0558251556303152	0.121359033978946
"HALLMARK_COAGULATION"	78	"Up"	0.0604971815035189	0.126035794798998
"HALLMARK_KRAS_SIGNALING_UP"	140	"Up"	0.0795053876708434	0.156884322351546
"HALLMARK_P53_PATHWAY"	191	"Up"	0.0815798476228038	0.156884322351546
"HALLMARK_KRAS_SIGNALING_DN"	87	"Up"	0.0910532324654328	0.168617097158209
"HALLMARK_BILE_ACID_METABOLISM"	76	"Down"	0.0999413327542682	0.178466665632622
"HALLMARK_PEROXISOME"	91	"Down"	0.126171358704444	0.214903914022919
"HALLMARK_APICAL_JUNCTION"	142	"Up"	0.128942348413751	0.214903914022919
"HALLMARK_HEDGEHOG_SIGNALING"	27	"Up"	0.196614668984972	0.317120433846728
"HALLMARK_G2M_CHECKPOINT"	195	"Up"	0.204311056399522	0.319236025624253
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	45	"Down"	0.219294878284455	0.319608430167551
"HALLMARK_PROTEIN_SECRETION"	94	"Down"	0.2282448936993	0.319608430167551
"HALLMARK_APICAL_SURFACE"	32	"Up"	0.228371093968447	0.319608430167551
"HALLMARK_ANDROGEN_RESPONSE"	90	"Down"	0.230118069720637	0.319608430167551
"HALLMARK_IL2_STAT5_SIGNALING"	148	"Up"	0.259355850614541	0.350480879208839
"HALLMARK_ESTROGEN_RESPONSE_LATE"	170	"Up"	0.290364664369338	0.382058768907023
"HALLMARK_DNA_REPAIR"	146	"Up"	0.301331164816576	0.386322006175097
"HALLMARK_ANGIOGENESIS"	21	"Up"	0.335708856652895	0.419636070816119
"HALLMARK_SPERMATOGENESIS"	74	"Up"	0.376981618410252	0.459733680988112
"HALLMARK_HEME_METABOLISM"	160	"Up"	0.393616759211209	0.468591380013343
"HALLMARK_ALLOGRAFT_REJECTION"	109	"Up"	0.450851922651425	0.524246421687704
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	172	"Up"	0.533822955765213	0.606616995187742
"HALLMARK_UV_RESPONSE_DN"	120	"Up"	0.597712671826087	0.65044853519748
"HALLMARK_PANCREAS_BETA_CELLS"	22	"Up"	0.598412652381682	0.65044853519748
"HALLMARK_HYPOXIA"	161	"Down"	0.635120270192648	0.675659861907072
"HALLMARK_NOTCH_SIGNALING"	27	"Down"	0.803657505556877	0.83714323495508
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	93	"Down"	0.903502940149064	0.92194177566231
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	40	"Up"	0.931113964603125	0.931113964603125
