"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_E2F_TARGETS"	198	"Up"	1.21059592951583e-11	6.05297964757914e-10
"HALLMARK_G2M_CHECKPOINT"	195	"Up"	3.44432319560061e-07	8.61080798900152e-06
"HALLMARK_MYC_TARGETS_V2"	58	"Down"	9.4552055033066e-06	0.000157586758388443
"HALLMARK_MITOTIC_SPINDLE"	197	"Up"	0.000117172750523617	0.00146465938154521
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	200	"Down"	0.000205615132257284	0.00205615132257285
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	165	"Up"	0.00068156940540369	0.00567974504503075
"HALLMARK_MYC_TARGETS_V1"	199	"Down"	0.00110417891652738	0.00788699226090983
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	109	"Down"	0.00150791459933209	0.00942446624582556
"HALLMARK_ADIPOGENESIS"	177	"Down"	0.00280925392326977	0.014349066552045
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	124	"Up"	0.00286981331040899	0.014349066552045
"HALLMARK_APOPTOSIS"	137	"Up"	0.00359443523025027	0.016338341955683
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	56	"Up"	0.00402498655800906	0.0167707773250377
"HALLMARK_UV_RESPONSE_UP"	139	"Up"	0.00555620725830592	0.0213700279165612
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	85	"Up"	0.0124042667588085	0.0443009527100305
"HALLMARK_FATTY_ACID_METABOLISM"	140	"Down"	0.0186161181809692	0.0617105103046678
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	154	"Up"	0.0197473632974937	0.0617105103046678
"HALLMARK_TGF_BETA_SIGNALING"	50	"Up"	0.0217092887792407	0.0638508493507079
"HALLMARK_INFLAMMATORY_RESPONSE"	110	"Up"	0.0260989502205246	0.0724970839459016
"HALLMARK_SPERMATOGENESIS"	74	"Up"	0.0433137364632505	0.113983517008554
"HALLMARK_GLYCOLYSIS"	177	"Down"	0.04688489648809	0.117212241220225
"HALLMARK_MYOGENESIS"	123	"Up"	0.0499883496994564	0.119019880236801
"HALLMARK_KRAS_SIGNALING_DN"	87	"Up"	0.058786375495328	0.133320939132968
"HALLMARK_ESTROGEN_RESPONSE_LATE"	170	"Up"	0.0618240691203475	0.133320939132968
"HALLMARK_MTORC1_SIGNALING"	196	"Down"	0.0639940507838246	0.133320939132968
"HALLMARK_COMPLEMENT"	141	"Up"	0.0816456674547591	0.163291334909518
"HALLMARK_APICAL_JUNCTION"	142	"Up"	0.116037030430282	0.22314813544285
"HALLMARK_XENOBIOTIC_METABOLISM"	157	"Down"	0.121811446095492	0.22557675202869
"HALLMARK_COAGULATION"	78	"Up"	0.127115752189926	0.226992414624869
"HALLMARK_DNA_REPAIR"	146	"Up"	0.144484063901545	0.249110455002664
"HALLMARK_KRAS_SIGNALING_UP"	140	"Up"	0.155215250577646	0.258692084296076
"HALLMARK_APICAL_SURFACE"	32	"Up"	0.190820021395772	0.297330275653507
"HALLMARK_PROTEIN_SECRETION"	94	"Down"	0.195122418338597	0.297330275653507
"HALLMARK_IL2_STAT5_SIGNALING"	148	"Up"	0.196237981931314	0.297330275653507
"HALLMARK_BILE_ACID_METABOLISM"	76	"Down"	0.225580544174088	0.331736094373659
"HALLMARK_P53_PATHWAY"	191	"Up"	0.287786065795342	0.410848107402335
"HALLMARK_PEROXISOME"	91	"Down"	0.295810637329681	0.410848107402335
"HALLMARK_HEME_METABOLISM"	160	"Up"	0.321609012079383	0.434606773080247
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	72	"Down"	0.362354365072998	0.476259894329147
"HALLMARK_HEDGEHOG_SIGNALING"	27	"Up"	0.371482717576734	0.476259894329147
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	172	"Up"	0.404698054480694	0.505872568100867
"HALLMARK_HYPOXIA"	161	"Up"	0.483770365104543	0.589963859883589
"HALLMARK_ANGIOGENESIS"	21	"Up"	0.502768165589579	0.598533530463784
"HALLMARK_ANDROGEN_RESPONSE"	90	"Down"	0.555247658092485	0.645636811735447
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	45	"Down"	0.620728348485058	0.705373123278475
"HALLMARK_ALLOGRAFT_REJECTION"	109	"Up"	0.683065957465659	0.758962174961843
"HALLMARK_PANCREAS_BETA_CELLS"	22	"Up"	0.758480425475873	0.824262679446044
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	93	"Up"	0.786941156058372	0.824262679446044
"HALLMARK_UV_RESPONSE_DN"	120	"Up"	0.791292172268202	0.824262679446044
"HALLMARK_NOTCH_SIGNALING"	27	"Down"	0.90655551606751	0.92505664904848
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	40	"Down"	0.986457611477524	0.986457611477524
