"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_MYC_TARGETS_V1"	199	"Down"	8.18000322772883e-11	4.09000161386441e-09
"HALLMARK_MTORC1_SIGNALING"	196	"Down"	9.34677972540004e-10	2.33669493135001e-08
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	109	"Down"	1.44388614630001e-07	2.40647691050001e-06
"HALLMARK_MYC_TARGETS_V2"	58	"Down"	2.43306332321136e-07	3.0413291540142e-06
"HALLMARK_GLYCOLYSIS"	177	"Down"	2.32456577083109e-06	2.32456577083109e-05
"HALLMARK_FATTY_ACID_METABOLISM"	140	"Down"	3.32955173487865e-05	0.000277462644573221
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	165	"Up"	7.34530088340226e-05	0.000524664348814447
"HALLMARK_ADIPOGENESIS"	177	"Down"	0.000214983629006921	0.00134364768129326
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	72	"Down"	0.000264971480518173	0.00147206378065651
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	85	"Up"	0.000310281435828495	0.00155140717914247
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	200	"Down"	0.000349125269854698	0.00158693304479408
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	56	"Up"	0.000623386380188636	0.00259744325078598
"HALLMARK_G2M_CHECKPOINT"	195	"Down"	0.000743420437112603	0.00285930937351001
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	124	"Up"	0.00100496312670272	0.00358915402393829
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	154	"Up"	0.00174165843741971	0.00580552812473238
"HALLMARK_E2F_TARGETS"	198	"Down"	0.00398424924560854	0.0124507788925267
"HALLMARK_INFLAMMATORY_RESPONSE"	110	"Up"	0.0125075720473443	0.0367869766098363
"HALLMARK_TGF_BETA_SIGNALING"	50	"Up"	0.0160318059727049	0.0426313658843303
"HALLMARK_APOPTOSIS"	137	"Up"	0.0161999190360455	0.0426313658843303
"HALLMARK_P53_PATHWAY"	191	"Up"	0.0226267388727714	0.0565668471819285
"HALLMARK_COAGULATION"	78	"Up"	0.0355865809669293	0.084729954683165
"HALLMARK_COMPLEMENT"	141	"Up"	0.0394754459368785	0.0867102981231648
"HALLMARK_XENOBIOTIC_METABOLISM"	157	"Down"	0.0398867371366558	0.0867102981231648
"HALLMARK_UV_RESPONSE_UP"	139	"Up"	0.0508196889958024	0.105874352074588
"HALLMARK_BILE_ACID_METABOLISM"	76	"Down"	0.05493701597436	0.105996198195084
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	45	"Down"	0.0570347811147241	0.105996198195084
"HALLMARK_KRAS_SIGNALING_UP"	140	"Up"	0.0572379470253455	0.105996198195084
"HALLMARK_PEROXISOME"	91	"Down"	0.065416727810874	0.116815585376561
"HALLMARK_ANDROGEN_RESPONSE"	90	"Down"	0.08532427948904	0.147110826705241
"HALLMARK_HYPOXIA"	161	"Down"	0.0963718381742191	0.160619730290365
"HALLMARK_MYOGENESIS"	123	"Up"	0.110508066518883	0.178238816965941
"HALLMARK_HEDGEHOG_SIGNALING"	27	"Up"	0.130028256031331	0.203169150048954
"HALLMARK_KRAS_SIGNALING_DN"	87	"Up"	0.211796614860867	0.314282520620188
"HALLMARK_ANGIOGENESIS"	21	"Up"	0.213712114021728	0.314282520620188
"HALLMARK_APICAL_JUNCTION"	142	"Up"	0.221280379552086	0.316114827931551
"HALLMARK_ALLOGRAFT_REJECTION"	109	"Up"	0.279637984226436	0.388386089203384
"HALLMARK_PROTEIN_SECRETION"	94	"Down"	0.358865264272534	0.484953059827749
"HALLMARK_APICAL_SURFACE"	32	"Up"	0.391015077951712	0.514493523620674
"HALLMARK_IL2_STAT5_SIGNALING"	148	"Up"	0.444269258139602	0.569575971973849
"HALLMARK_UV_RESPONSE_DN"	120	"Up"	0.456052024403314	0.570065030504142
"HALLMARK_PANCREAS_BETA_CELLS"	22	"Up"	0.50223015954216	0.612475804319707
"HALLMARK_HEME_METABOLISM"	160	"Up"	0.569857736390494	0.664185142812466
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	93	"Down"	0.57749171757015	0.664185142812466
"HALLMARK_SPERMATOGENESIS"	74	"Down"	0.58448292567497	0.664185142812466
"HALLMARK_NOTCH_SIGNALING"	27	"Down"	0.690596786410253	0.767329762678059
"HALLMARK_DNA_REPAIR"	146	"Up"	0.712441696983237	0.774393148894823
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	172	"Up"	0.780972085501992	0.830821367555311
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	40	"Up"	0.848008468159047	0.88334215433234
"HALLMARK_MITOTIC_SPINDLE"	197	"Up"	0.875433174208142	0.893299157355247
"HALLMARK_ESTROGEN_RESPONSE_LATE"	170	"Up"	0.999058567616433	0.999058567616433
