"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_E2F_TARGETS"	198	"Down"	3.29968941234113e-23	1.64984470617056e-21
"HALLMARK_MYC_TARGETS_V1"	199	"Down"	2.1348183579297e-20	5.33704589482425e-19
"HALLMARK_G2M_CHECKPOINT"	195	"Down"	5.66856338234948e-19	9.44760563724914e-18
"HALLMARK_MTORC1_SIGNALING"	196	"Down"	1.96858834840612e-14	2.46073543550764e-13
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	200	"Down"	1.9408649626394e-09	1.9408649626394e-08
"HALLMARK_FATTY_ACID_METABOLISM"	140	"Down"	8.396844231521e-09	6.99737019293417e-08
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	165	"Up"	3.02087434553329e-08	2.15776738966664e-07
"HALLMARK_GLYCOLYSIS"	177	"Down"	3.94706005963475e-08	2.46691253727172e-07
"HALLMARK_MYC_TARGETS_V2"	58	"Down"	6.99210031326797e-08	3.88450017403776e-07
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	72	"Down"	8.76889938686469e-07	4.38444969343234e-06
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	109	"Down"	1.01354272390015e-06	4.60701238136431e-06
"HALLMARK_P53_PATHWAY"	191	"Up"	8.86925383302714e-06	3.69552243042797e-05
"HALLMARK_ADIPOGENESIS"	177	"Down"	2.78178522727806e-05	0.000106991739510695
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	124	"Up"	4.98537479887476e-05	0.000178049099959813
"HALLMARK_PEROXISOME"	91	"Down"	0.00234048800022017	0.00780162666740057
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	56	"Up"	0.00290556586029631	0.00888496442562063
"HALLMARK_TGF_BETA_SIGNALING"	50	"Up"	0.00302088790471101	0.00888496442562063
"HALLMARK_XENOBIOTIC_METABOLISM"	157	"Down"	0.00338363768289568	0.00939899356359911
"HALLMARK_BILE_ACID_METABOLISM"	76	"Down"	0.0037144758711329	0.00977493650298132
"HALLMARK_APOPTOSIS"	137	"Up"	0.00516845096639596	0.0129211274159899
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	45	"Down"	0.00787777282735598	0.0187566019698952
"HALLMARK_INFLAMMATORY_RESPONSE"	110	"Up"	0.00883358417029064	0.0200763276597515
"HALLMARK_SPERMATOGENESIS"	74	"Down"	0.0121777721008943	0.0264734176106399
"HALLMARK_HEDGEHOG_SIGNALING"	27	"Up"	0.013141949022686	0.0273790604639292
"HALLMARK_KRAS_SIGNALING_UP"	140	"Up"	0.0149797278029797	0.0299594556059594
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	85	"Up"	0.0250656996036348	0.0482032684685285
"HALLMARK_ANDROGEN_RESPONSE"	90	"Down"	0.0341058062158388	0.0631589003997014
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	154	"Up"	0.043367103296986	0.0774412558874751
"HALLMARK_UV_RESPONSE_DN"	120	"Up"	0.0568067877872242	0.0979427375641796
"HALLMARK_MYOGENESIS"	123	"Up"	0.0604039931105766	0.100673321850961
"HALLMARK_ESTROGEN_RESPONSE_LATE"	170	"Down"	0.0684415290744005	0.110389563023227
"HALLMARK_APICAL_JUNCTION"	142	"Up"	0.0867320413834884	0.135518814661701
"HALLMARK_ANGIOGENESIS"	21	"Up"	0.0932853879738426	0.141341496930065
"HALLMARK_COMPLEMENT"	141	"Up"	0.0987419381852701	0.145208732625397
"HALLMARK_COAGULATION"	78	"Up"	0.113108809467354	0.161584013524791
"HALLMARK_MITOTIC_SPINDLE"	197	"Down"	0.150449776074294	0.208958022325409
"HALLMARK_HYPOXIA"	161	"Down"	0.157849564846136	0.213310222765049
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	40	"Up"	0.356642590461565	0.469266566396796
"HALLMARK_DNA_REPAIR"	146	"Down"	0.376589773825734	0.482807402340684
"HALLMARK_UV_RESPONSE_UP"	139	"Up"	0.401739745605109	0.492136185910189
"HALLMARK_KRAS_SIGNALING_DN"	87	"Up"	0.406317120011694	0.492136185910189
"HALLMARK_IL2_STAT5_SIGNALING"	148	"Up"	0.413394396164559	0.492136185910189
"HALLMARK_ALLOGRAFT_REJECTION"	109	"Up"	0.48512403002706	0.553773350095621
"HALLMARK_HEME_METABOLISM"	160	"Up"	0.487320548084146	0.553773350095621
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	93	"Down"	0.539932286775785	0.599924763084206
"HALLMARK_PROTEIN_SECRETION"	94	"Down"	0.675956394104084	0.7347352109827
"HALLMARK_APICAL_SURFACE"	32	"Up"	0.751547188070391	0.799518285181267
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	172	"Up"	0.809057060921547	0.842767771793278
"HALLMARK_PANCREAS_BETA_CELLS"	22	"Up"	0.833610776728411	0.850623241559603
"HALLMARK_NOTCH_SIGNALING"	27	"Down"	0.905162461666379	0.905162461666379
