"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_E2F_TARGETS"	198	"Down"	1.29030046432304e-38	6.45150232161518e-37
"HALLMARK_G2M_CHECKPOINT"	195	"Down"	1.49604486652854e-28	3.74011216632135e-27
"HALLMARK_MYC_TARGETS_V1"	199	"Down"	2.72254199691833e-22	4.53756999486389e-21
"HALLMARK_MTORC1_SIGNALING"	196	"Down"	4.95962119872539e-14	6.19952649840674e-13
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	200	"Down"	1.4144133020588e-11	1.4144133020588e-10
"HALLMARK_FATTY_ACID_METABOLISM"	140	"Down"	2.26114082284524e-09	1.8842840190377e-08
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	165	"Up"	8.99544259048776e-09	6.42531613606269e-08
"HALLMARK_GLYCOLYSIS"	177	"Down"	1.7277861447204e-07	1.07986634045025e-06
"HALLMARK_P53_PATHWAY"	191	"Up"	2.08383573027987e-07	1.15768651682215e-06
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	72	"Down"	4.78788932219067e-07	2.39394466109533e-06
"HALLMARK_MYC_TARGETS_V2"	58	"Down"	2.11111773792912e-06	9.59598971785966e-06
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	109	"Down"	7.11201643234708e-05	0.000296334018014462
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	124	"Up"	8.58235270766953e-05	0.00031457943466069
"HALLMARK_ADIPOGENESIS"	177	"Down"	8.80822417049932e-05	0.00031457943466069
"HALLMARK_PEROXISOME"	91	"Down"	0.000738580313847817	0.0023157571348415
"HALLMARK_SPERMATOGENESIS"	74	"Down"	0.00074104228314928	0.0023157571348415
"HALLMARK_BILE_ACID_METABOLISM"	76	"Down"	0.00199159080890234	0.00561405992578549
"HALLMARK_XENOBIOTIC_METABOLISM"	157	"Down"	0.00202106157328278	0.00561405992578549
"HALLMARK_TGF_BETA_SIGNALING"	50	"Up"	0.00383867798497386	0.0101017841709839
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	45	"Down"	0.00517404467221269	0.0129351116805317
"HALLMARK_HEDGEHOG_SIGNALING"	27	"Up"	0.00575440600734595	0.013700966684157
"HALLMARK_ESTROGEN_RESPONSE_LATE"	170	"Down"	0.00634594498185804	0.0144226022314955
"HALLMARK_APOPTOSIS"	137	"Up"	0.00863607887476782	0.0187740845103648
"HALLMARK_KRAS_SIGNALING_UP"	140	"Up"	0.0152469424393578	0.0317644634153288
"HALLMARK_UV_RESPONSE_DN"	120	"Up"	0.0189416315317352	0.0378832630634703
"HALLMARK_INFLAMMATORY_RESPONSE"	110	"Up"	0.021894445965483	0.042104703779775
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	56	"Up"	0.0237739504772568	0.0440258342171421
"HALLMARK_MITOTIC_SPINDLE"	197	"Down"	0.0268479874188834	0.0479428346765774
"HALLMARK_ANDROGEN_RESPONSE"	90	"Down"	0.0380531637788212	0.0656089030669331
"HALLMARK_MYOGENESIS"	123	"Up"	0.0755441193687176	0.122053359966209
"HALLMARK_APICAL_JUNCTION"	142	"Up"	0.0756730831790496	0.122053359966209
"HALLMARK_ANGIOGENESIS"	21	"Up"	0.0913294629974399	0.1427022859335
"HALLMARK_DNA_REPAIR"	146	"Down"	0.115360567314186	0.174788738354827
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	40	"Up"	0.209717077830154	0.308407467397286
"HALLMARK_COMPLEMENT"	141	"Up"	0.250318428740691	0.357597755343844
"HALLMARK_HYPOXIA"	161	"Down"	0.289235380084147	0.401715805672426
"HALLMARK_COAGULATION"	78	"Up"	0.304851069469566	0.404966945569786
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	85	"Up"	0.307774878633037	0.404966945569786
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	154	"Up"	0.323346343384288	0.414546594082421
"HALLMARK_IL2_STAT5_SIGNALING"	148	"Up"	0.482696974571587	0.603371218214483
"HALLMARK_HEME_METABOLISM"	160	"Up"	0.503324533020371	0.613810406122403
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	93	"Down"	0.576228192092488	0.685985942967247
"HALLMARK_KRAS_SIGNALING_DN"	87	"Up"	0.605832813036817	0.704456759345137
"HALLMARK_ALLOGRAFT_REJECTION"	109	"Up"	0.714157107580538	0.811542167705157
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	172	"Up"	0.864354285320808	0.960393650356454
"HALLMARK_PANCREAS_BETA_CELLS"	22	"Down"	0.910090015712889	0.973104552747809
"HALLMARK_APICAL_SURFACE"	32	"Down"	0.928778319572683	0.973104552747809
"HALLMARK_NOTCH_SIGNALING"	27	"Up"	0.945823593099938	0.973104552747809
"HALLMARK_PROTEIN_SECRETION"	94	"Down"	0.953642461692853	0.973104552747809
"HALLMARK_UV_RESPONSE_UP"	139	"Down"	0.981818909677241	0.981818909677241
