"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_E2F_TARGETS"	198	"Up"	2.82340270854385e-67	1.41170135427192e-65
"HALLMARK_G2M_CHECKPOINT"	195	"Up"	4.76129626319449e-46	1.19032406579862e-44
"HALLMARK_MYC_TARGETS_V1"	199	"Up"	2.42234416697501e-11	4.03724027829169e-10
"HALLMARK_MTORC1_SIGNALING"	196	"Up"	5.71462820078131e-09	7.14328525097663e-08
"HALLMARK_MITOTIC_SPINDLE"	197	"Up"	1.31422391188057e-06	1.31422391188057e-05
"HALLMARK_SPERMATOGENESIS"	74	"Up"	2.96055730237553e-06	2.46713108531294e-05
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	72	"Up"	1.65702919844747e-05	0.000118359228460534
"HALLMARK_P53_PATHWAY"	191	"Down"	5.59499781202479e-05	0.000328074118373628
"HALLMARK_ESTROGEN_RESPONSE_LATE"	170	"Up"	5.9053341307253e-05	0.000328074118373628
"HALLMARK_FATTY_ACID_METABOLISM"	140	"Up"	8.789315085358e-05	0.0004394657542679
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	200	"Up"	0.000267870752107299	0.00121759432776045
"HALLMARK_GLYCOLYSIS"	177	"Up"	0.000321251512255723	0.00133854796773218
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	165	"Down"	0.00260008679776377	0.010000333837553
"HALLMARK_DNA_REPAIR"	146	"Up"	0.0132515618220207	0.0473270065072169
"HALLMARK_PEROXISOME"	91	"Up"	0.0162028123080691	0.0540093743602303
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	45	"Up"	0.0239437808221223	0.0748243150691322
"HALLMARK_HEDGEHOG_SIGNALING"	27	"Down"	0.035468348061307	0.10431867076855
"HALLMARK_BILE_ACID_METABOLISM"	76	"Up"	0.0382715685059497	0.106309912516527
"HALLMARK_UV_RESPONSE_DN"	120	"Down"	0.0414654650762881	0.1091196449376
"HALLMARK_UV_RESPONSE_UP"	139	"Up"	0.0467991014922329	0.116997753730582
"HALLMARK_XENOBIOTIC_METABOLISM"	157	"Up"	0.0681497511503233	0.162261312262675
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	124	"Down"	0.108168906867852	0.242518154134248
"HALLMARK_HYPOXIA"	161	"Up"	0.111871983826978	0.242518154134248
"HALLMARK_ANDROGEN_RESPONSE"	90	"Up"	0.118218554179357	0.242518154134248
"HALLMARK_ADIPOGENESIS"	177	"Up"	0.121259077067124	0.242518154134248
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	109	"Up"	0.146799618056309	0.282306957800594
"HALLMARK_MYC_TARGETS_V2"	58	"Up"	0.190208713679465	0.352238358665676
"HALLMARK_KRAS_SIGNALING_UP"	140	"Down"	0.206157040145179	0.368137571687821
"HALLMARK_ANGIOGENESIS"	21	"Down"	0.267546229573618	0.442597951126472
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	40	"Down"	0.268465376025574	0.442597951126472
"HALLMARK_TGF_BETA_SIGNALING"	50	"Down"	0.274410729698413	0.442597951126472
"HALLMARK_APICAL_SURFACE"	32	"Up"	0.322212972898157	0.50345777015337
"HALLMARK_PROTEIN_SECRETION"	94	"Down"	0.372308762423585	0.564104185490281
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	85	"Up"	0.397048253675386	0.583894490699098
"HALLMARK_KRAS_SIGNALING_DN"	87	"Up"	0.432793087534205	0.618275839334579
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	154	"Up"	0.452905766196934	0.62903578638463
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	93	"Up"	0.467065088354729	0.631169038317202
"HALLMARK_APICAL_JUNCTION"	142	"Down"	0.551578694380687	0.725761439974589
"HALLMARK_INFLAMMATORY_RESPONSE"	110	"Down"	0.588226158828888	0.754136101062677
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	172	"Up"	0.665026483252603	0.831283104065754
"HALLMARK_APOPTOSIS"	137	"Down"	0.713488429313498	0.870107840626217
"HALLMARK_PANCREAS_BETA_CELLS"	22	"Up"	0.787192196331392	0.90195518931522
"HALLMARK_MYOGENESIS"	123	"Down"	0.797214222764873	0.90195518931522
"HALLMARK_COAGULATION"	78	"Up"	0.81074765289606	0.90195518931522
"HALLMARK_IL2_STAT5_SIGNALING"	148	"Up"	0.811759670383698	0.90195518931522
"HALLMARK_NOTCH_SIGNALING"	27	"Down"	0.871947335236197	0.93266752650529
"HALLMARK_COMPLEMENT"	141	"Up"	0.876707474914973	0.93266752650529
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	56	"Down"	0.929642888658647	0.960082035881019
"HALLMARK_ALLOGRAFT_REJECTION"	109	"Down"	0.950106083805246	0.960082035881019
"HALLMARK_HEME_METABOLISM"	160	"Up"	0.960082035881019	0.960082035881019
