"Term"	"Ont"	"N"	"DE"	"P.DE"
"GO:1903047"	"mitotic cell cycle process"	"BP"	766	236	4.24015250921764e-26
"GO:0022402"	"cell cycle process"	"BP"	1144	314	5.22900763927806e-25
"GO:0000278"	"mitotic cell cycle"	"BP"	885	255	1.88093654732963e-23
"GO:0006261"	"DNA-dependent DNA replication"	"BP"	145	73	5.52766885991628e-22
"GO:0006260"	"DNA replication"	"BP"	254	104	8.11264268414899e-22
"GO:0000280"	"nuclear division"	"BP"	324	122	1.17303992705777e-21
"GO:0007049"	"cell cycle"	"BP"	1535	380	3.17911420656477e-21
"GO:0048285"	"organelle fission"	"BP"	357	124	1.32016537820711e-18
"GO:0051301"	"cell division"	"BP"	504	157	4.81356574402763e-18
"GO:0007059"	"chromosome segregation"	"BP"	273	102	5.13856517531826e-18
"GO:0140014"	"mitotic nuclear division"	"BP"	244	93	3.45825272690065e-17
"GO:0044786"	"cell cycle DNA replication"	"BP"	69	42	3.48407230482903e-17
"GO:0033260"	"nuclear DNA replication"	"BP"	58	37	2.91683612595384e-16
"GO:0098813"	"nuclear chromosome segregation"	"BP"	217	84	4.09686059809778e-16
"GO:0000819"	"sister chromatid segregation"	"BP"	174	71	3.30573227047366e-15
"GO:0071103"	"DNA conformation change"	"BP"	248	90	3.82363629858085e-15
"GO:0044770"	"cell cycle phase transition"	"BP"	535	156	4.46814418676309e-15
"GO:0044772"	"mitotic cell cycle phase transition"	"BP"	505	149	6.4605401961976e-15
"GO:0000070"	"mitotic sister chromatid segregation"	"BP"	143	62	6.49867890923441e-15
"GO:0051321"	"meiotic cell cycle"	"BP"	162	67	9.04176814734874e-15
"GO:1903046"	"meiotic cell cycle process"	"BP"	120	55	1.23317539395684e-14
"GO:0140013"	"meiotic nuclear division"	"BP"	106	49	2.29223350435761e-13
"GO:0006271"	"DNA strand elongation involved in DNA replication"	"BP"	20	18	6.26434126486123e-13
"GO:0006310"	"DNA recombination"	"BP"	232	81	1.00681027057543e-12
"GO:0006302"	"double-strand break repair"	"BP"	214	76	1.90792593864952e-12
"GO:0031055"	"chromatin remodeling at centromere"	"BP"	37	25	2.98054273560187e-12
