"Pathway"	"N"	"DE"	"P.DE"
"path:hsa03030"	"DNA replication"	36	27	6.31209918059425e-15
"path:hsa04110"	"Cell cycle"	117	53	6.93244086087378e-14
"path:hsa00100"	"Steroid biosynthesis"	18	13	1.7264985230174e-07
"path:hsa03440"	"Homologous recombination"	40	20	6.10371007607622e-07
"path:hsa03430"	"Mismatch repair"	23	14	1.37754482700905e-06
"path:hsa04115"	"p53 signaling pathway"	68	27	2.31717877677534e-06
"path:hsa03460"	"Fanconi anemia pathway"	51	20	5.75368934265699e-05
"path:hsa00983"	"Drug metabolism - other enzymes"	52	20	7.95300795515234e-05
"path:hsa00051"	"Fructose and mannose metabolism"	29	13	0.000238656671138232
"path:hsa03320"	"PPAR signaling pathway"	52	19	0.000262141438647328
"path:hsa04975"	"Fat digestion and absorption"	27	12	0.000456338558297296
"path:hsa04512"	"ECM-receptor interaction"	46	17	0.000467549391357845
"path:hsa04218"	"Cellular senescence"	139	37	0.000948525096203663
"path:hsa03410"	"Base excision repair"	33	13	0.00107444645348307
"path:hsa05322"	"Systemic lupus erythematosus"	45	16	0.00110802245709565
"path:hsa00010"	"Glycolysis / Gluconeogenesis"	50	17	0.00139028899762778
"path:hsa04114"	"Oocyte meiosis"	96	27	0.00186616424760993
"path:hsa00260"	"Glycine, serine and threonine metabolism"	27	11	0.00187427161618248
"path:hsa05033"	"Nicotine addiction"	10	6	0.00197211972360363
"path:hsa00982"	"Drug metabolism - cytochrome P450"	35	13	0.00202316599520467
"path:hsa04080"	"Neuroactive ligand-receptor interaction"	74	22	0.0022217439268846
"path:hsa01230"	"Biosynthesis of amino acids"	60	18	0.00484290383440073
"path:hsa00480"	"Glutathione metabolism"	47	15	0.00516598669268674
"path:hsa00980"	"Metabolism of xenobiotics by cytochrome P450"	43	14	0.00557486533375719
"path:hsa01524"	"Platinum drug resistance"	66	19	0.00632413757418861
"path:hsa05206"	"MicroRNAs in cancer"	135	33	0.00729244491274249
"path:hsa04914"	"Progesterone-mediated oocyte maturation"	72	20	0.00794288981662788
"path:hsa05034"	"Alcoholism"	101	26	0.0080918367941125
"path:hsa01100"	"Metabolic pathways"	1134	211	0.00837680279765068
"path:hsa03420"	"Nucleotide excision repair"	45	14	0.00868661927924309
"path:hsa05030"	"Cocaine addiction"	33	11	0.0110588143521232
"path:hsa01523"	"Antifolate resistance"	25	9	0.0122077348660194
"path:hsa00030"	"Pentose phosphate pathway"	25	9	0.0122077348660194
"path:hsa05204"	"Chemical carcinogenesis"	47	14	0.0130282981583667
"path:hsa01200"	"Carbon metabolism"	100	25	0.0135271115887029
"path:hsa05418"	"Fluid shear stress and atherosclerosis"	106	26	0.0152685711987705
"path:hsa00140"	"Steroid hormone biosynthesis"	26	9	0.0160714511290326
"path:hsa01040"	"Biosynthesis of unsaturated fatty acids"	22	8	0.016714909447314
"path:hsa00052"	"Galactose metabolism"	22	8	0.016714909447314
"path:hsa00670"	"One carbon pool by folate"	18	7	0.0167844293712183
"path:hsa05410"	"Hypertrophic cardiomyopathy"	53	15	0.0168074550368126
"path:hsa04060"	"Cytokine-cytokine receptor interaction"	101	24	0.0276527362620021
"path:hsa00500"	"Starch and sucrose metabolism"	24	8	0.0286257313094847
"path:hsa05150"	"Staphylococcus aureus infection"	29	9	0.0329374177616339
"path:hsa00040"	"Pentose and glucuronate interconversions"	21	7	0.0396980644936969
"path:hsa00900"	"Terpenoid backbone biosynthesis"	21	7	0.0396980644936969
"path:hsa04970"	"Salivary secretion"	49	13	0.0412889751779573
"path:hsa05414"	"Dilated cardiomyopathy"	54	14	0.0419803232146314
"path:hsa04972"	"Pancreatic secretion"	54	14	0.0419803232146314
"path:hsa05166"	"Human T-cell leukemia virus 1 infection"	175	37	0.0435872189768266
"path:hsa00330"	"Arginine and proline metabolism"	40	11	0.0456843796992102
