"Comparison"	"GeneID"	"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"Ctrl_Res_Sens"	5962	"RDX"	3.91448256656732	5.77868581647256	8.12540461059488	7.88557599428927e-13	1.04318284828453e-08
"Ctrl_Res_Sens"	375323	"LHFPL4"	7.12681592027705	-0.364779291790623	7.73341239951707	5.79953603796074e-12	3.16704265138735e-08
"Ctrl_Res_Sens"	51474	"LIMA1"	-2.20569169711533	8.56295082400748	-7.69112352600035	7.18204547143553e-12	3.16704265138735e-08
"Ctrl_Res_Sens"	79887	"PLBD1"	-2.55564934735815	6.19602070299563	-6.77562306255053	6.73672708139254e-10	2.22800406399355e-06
"Ctrl_Res_Sens"	84433	"CARD11"	4.05799462665306	-0.12731558883067	6.7096661437702	9.27388221774906e-10	2.45368375717205e-06
"Ctrl_Res_Sens"	60681	"FKBP10"	6.13557676628456	2.76544622433009	6.48416546583407	2.74115152018738e-09	5.58628095453282e-06
"Ctrl_Res_Sens"	57514	"ARHGAP31"	5.52025269480025	-0.0512002274972503	6.4542859420286	3.1610004541187e-09	5.58628095453282e-06
"Ctrl_Res_Sens"	64093	"SMOC1"	4.83386186241407	0.159993306320847	6.4403335883664	3.37820301128298e-09	5.58628095453282e-06
"Ctrl_Res_Sens"	81831	"NETO2"	-3.08592427286112	5.48548806409344	-6.18595287597703	1.12288891164788e-08	1.65052193468776e-05
"Ctrl_Res_Sens"	5799	"PTPRN2"	4.51593019255683	1.59343925723426	6.14483108750839	1.36089160370264e-08	1.80032350253822e-05
"Ctrl_Res_Sens"	10609	"P3H4"	2.12767883669852	4.70813268545691	6.08867851743209	1.76779776277548e-08	2.1260178730688e-05
"Ctrl_Res_Sens"	10160	"FARP1"	2.31353189608699	5.79765207744138	5.94782907334241	3.39115017167623e-08	3.7384604684254e-05
"Ctrl_Res_Sens"	51082	"POLR1D"	1.42171009284308	7.06793640302022	5.92460321817351	3.77320029143952e-08	3.83966666580411e-05
"Ctrl_Res_Sens"	5789	"PTPRD"	4.67229218684208	4.36974603068272	5.89584003782179	4.3053670362025e-08	4.06826432299449e-05
"Ctrl_Res_Sens"	219654	"ZCCHC24"	3.34472419905566	3.27429642741394	5.85639838409316	5.15671101153244e-08	4.11680134051227e-05
"Ctrl_Res_Sens"	6652	"SORD"	-2.16081596561694	6.99759628578863	-5.84269238903858	5.4896703508688e-08	4.11680134051227e-05
"Ctrl_Res_Sens"	7447	"VSNL1"	3.05401699793313	4.04528500480487	5.84115585172265	5.52828901162122e-08	4.11680134051227e-05
"Ctrl_Res_Sens"	2952	"GSTT1"	7.17966574668258	3.19632149364865	5.83827116563468	5.60151365403438e-08	4.11680134051227e-05
"Ctrl_Res_Sens"	972	"CD74"	3.68006415549524	3.19794960586664	5.80119617018548	6.63183408866927e-08	4.61750174521083e-05
"Ctrl_Res_Sens"	829	"CAPZA1"	-1.04527585006348	7.46158923502536	-5.78616945208643	7.10053402485097e-08	4.69664823073767e-05
"Ctrl_Res_Sens"	114883	"OSBPL9"	-1.3611581132642	5.66321253773594	-5.76536728429087	7.80344868467819e-08	4.83779117713008e-05
"Ctrl_Res_Sens"	10749	"KIF1C"	-1.3157345062508	7.5217545189079	-5.75863308949426	8.04530999295953e-08	4.83779117713008e-05
"Ctrl_Res_Sens"	11211	"FZD10"	5.22574182502654	1.08849034233373	5.73684228456704	8.879466480714e-08	5.10723748145067e-05
"Ctrl_Res_Sens"	7504	"XK"	-3.17314396070738	3.62867724562697	-5.72610868145622	9.32099075407452e-08	5.13780777856882e-05
"Ctrl_Res_Sens"	490	"ATP2B1"	-2.15210098820525	6.84079981556079	-5.69460123582853	1.07452386816448e-07	5.68595050077917e-05
"Ctrl_Res_Sens"	646168	"LRRC77P"	4.74053099576768	2.48862050619032	5.61775944571133	1.51749183424277e-07	7.60192887837027e-05
"Ctrl_Res_Sens"	79717	"PPCS"	-1.16236368137284	7.15221091376664	-5.61280347466947	1.55153133053139e-07	7.60192887837027e-05
"Ctrl_Res_Sens"	56271	"BEX4"	4.83974717018202	-0.294079481058597	5.60219187966339	1.62695248186698e-07	7.68676942236366e-05
"Ctrl_Res_Sens"	11278	"KLF12"	3.92080024862341	2.21868012064241	5.58937294924076	1.72286562358418e-07	7.85923770151555e-05
"Ctrl_Res_Sens"	151556	"GPR155"	4.24250923416663	2.42247158957389	5.52250081653866	2.32039590902188e-07	0.000102321724934835
"Ctrl_Res_Sens"	57538	"ALPK3"	5.03284624910258	2.2098058039973	5.51302792672143	2.42000664423096e-07	0.000103271831924295
"Ctrl_Res_Sens"	4920	"ROR2"	5.04230594113896	-1.05462643922942	5.50103803098292	2.55210559269252e-07	0.000105505640267904
"Ctrl_Res_Sens"	6738	"TROVE2"	1.01704446478999	6.12681171035557	5.47768250631326	2.83000903554667e-07	0.000113449059185597
"Ctrl_Res_Sens"	253650	"ANKRD18A"	3.62702333140787	1.82355544267035	5.39963425915754	3.99104387674983e-07	0.000154993811824043
"Ctrl_Res_Sens"	10815	"CPLX1"	3.46811100768024	2.26885792836073	5.39345724377224	4.10067534495541e-07	0.000154993811824043
"Ctrl_Res_Sens"	7103	"TSPAN8"	-2.28923376192381	8.41874047697612	-5.38298514690504	4.29330377226418e-07	0.000157766987786897
"Ctrl_Res_Sens"	55706	"NDC1"	-1.42980916739402	5.71226353388009	-5.32763413801292	5.46802423570232e-07	0.000195504034092178
"Ctrl_Res_Sens"	10810	"WASF3"	3.64471039524111	2.09620374768545	5.31036482730317	5.89502597852524e-07	0.000203274533936101
"Ctrl_Res_Sens"	4898	"NRDC"	-1.20718051667181	6.97974752384022	-5.30658773119471	5.99267278215128e-07	0.000203274533936101
"Ctrl_Res_Sens"	23017	"FAIM2"	4.75837980988681	1.37649743099358	5.28185088149452	6.67239285610545e-07	0.000220672712733548
"Ctrl_Res_Sens"	22821	"RASA3"	3.71444594285957	2.53645017895837	5.26806348675727	7.08334894226928e-07	0.000228550300383611
