"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	179	"Down"	8.2831364158988e-12	4.1415682079494e-10
"HALLMARK_MYC_TARGETS_V1"	199	"Up"	9.32151577438385e-11	2.33037894359596e-09
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	184	"Down"	2.48318296610392e-10	4.13863827683986e-09
"HALLMARK_COAGULATION"	124	"Down"	7.12590793927742e-09	8.90738492409677e-08
"HALLMARK_E2F_TARGETS"	194	"Up"	9.38999946597159e-08	9.38999946597159e-07
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	94	"Down"	2.66056516800647e-07	2.21713764000539e-06
"HALLMARK_G2M_CHECKPOINT"	191	"Up"	9.41345673061037e-07	6.72389766472169e-06
"HALLMARK_MYC_TARGETS_V2"	57	"Up"	2.28022117449203e-05	0.000142513823405752
"HALLMARK_XENOBIOTIC_METABOLISM"	187	"Down"	3.09216094959377e-05	0.000171786719421876
"HALLMARK_MYOGENESIS"	147	"Down"	3.58391762128569e-05	0.000179195881064285
"HALLMARK_COMPLEMENT"	178	"Down"	3.968397047426e-05	0.000180381683973909
"HALLMARK_UV_RESPONSE_DN"	136	"Down"	0.000113254970916537	0.000471895712152239
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	69	"Down"	0.000300857007918026	0.00115714233814626
"HALLMARK_DNA_REPAIR"	147	"Up"	0.000330975727672058	0.00118205617025735
"HALLMARK_BILE_ACID_METABOLISM"	101	"Down"	0.000611236787079691	0.0020374559569323
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	200	"Up"	0.000804721238413421	0.00251475387004194
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	183	"Down"	0.00152092330964792	0.00447330385190564
"HALLMARK_INFLAMMATORY_RESPONSE"	161	"Down"	0.00481963430088722	0.0133878730580201
"HALLMARK_KRAS_SIGNALING_UP"	177	"Down"	0.00527243195624	0.0138748209374737
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	111	"Up"	0.0249645074962911	0.0624112687407279
"HALLMARK_ALLOGRAFT_REJECTION"	166	"Down"	0.0266352390205603	0.0634172357632388
"HALLMARK_IL2_STAT5_SIGNALING"	171	"Down"	0.0336403813078157	0.0764554120632175
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	95	"Up"	0.0471576887591243	0.102516714693748
"HALLMARK_MTORC1_SIGNALING"	199	"Up"	0.0530275091224469	0.110473977338431
"HALLMARK_GLYCOLYSIS"	179	"Up"	0.0588685914523744	0.117737182904749
"HALLMARK_ANGIOGENESIS"	32	"Down"	0.0617715428568603	0.118791428570885
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	38	"Up"	0.0952133620544399	0.175897795567413
"HALLMARK_P53_PATHWAY"	190	"Up"	0.0985027655177512	0.175897795567413
"HALLMARK_APOPTOSIS"	147	"Down"	0.125412991184483	0.21622929514566
"HALLMARK_KRAS_SIGNALING_DN"	87	"Down"	0.141166337212133	0.235277228686888
"HALLMARK_APICAL_JUNCTION"	163	"Down"	0.162033445483898	0.261344266909514
"HALLMARK_HYPOXIA"	176	"Down"	0.183218945363972	0.286279602131207
"HALLMARK_FATTY_ACID_METABOLISM"	146	"Down"	0.265392382080306	0.402109669818646
"HALLMARK_ANDROGEN_RESPONSE"	93	"Down"	0.364202597123831	0.533870940520356
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	48	"Up"	0.373709658364249	0.533870940520356
"HALLMARK_SPERMATOGENESIS"	67	"Up"	0.455759661040766	0.632999529223286
"HALLMARK_MITOTIC_SPINDLE"	195	"Up"	0.608956889511079	0.782108402693803
"HALLMARK_HEDGEHOG_SIGNALING"	30	"Down"	0.653317323421954	0.782108402693803
"HALLMARK_TGF_BETA_SIGNALING"	52	"Down"	0.654540293587217	0.782108402693803
"HALLMARK_ADIPOGENESIS"	188	"Down"	0.656473772043829	0.782108402693803
"HALLMARK_PANCREAS_BETA_CELLS"	24	"Up"	0.656948652413369	0.782108402693803
"HALLMARK_UV_RESPONSE_UP"	142	"Up"	0.656971058262794	0.782108402693803
"HALLMARK_ESTROGEN_RESPONSE_LATE"	178	"Up"	0.712335368927234	0.8243994739195
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	72	"Down"	0.72547153704916	0.8243994739195
"HALLMARK_PEROXISOME"	96	"Down"	0.758043543857083	0.842270604285648
"HALLMARK_APICAL_SURFACE"	32	"Up"	0.781046063008066	0.848963111965289
"HALLMARK_HEME_METABOLISM"	165	"Down"	0.818547873500288	0.870795610106689
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	183	"Down"	0.840486843911453	0.875507129074431
"HALLMARK_NOTCH_SIGNALING"	31	"Down"	0.943047650398418	0.945991041921444
"HALLMARK_PROTEIN_SECRETION"	93	"Up"	0.945991041921444	0.945991041921444
