"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	179	"Down"	8.22522345067442e-20	4.11261172533721e-18
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	184	"Down"	8.78722174291231e-17	2.19680543572808e-15
"HALLMARK_COAGULATION"	124	"Down"	2.78886721670066e-16	4.64811202783443e-15
"HALLMARK_E2F_TARGETS"	194	"Up"	8.48606879665928e-15	1.06075859958241e-13
"HALLMARK_G2M_CHECKPOINT"	191	"Up"	8.13475952215607e-13	8.13475952215607e-12
"HALLMARK_ALLOGRAFT_REJECTION"	166	"Down"	1.01563207375909e-12	8.46360061465906e-12
"HALLMARK_COMPLEMENT"	178	"Down"	9.05264750299442e-11	6.46617678785316e-10
"HALLMARK_INFLAMMATORY_RESPONSE"	161	"Down"	2.57443801282892e-10	1.60902375801807e-09
"HALLMARK_MYC_TARGETS_V1"	199	"Up"	2.90604849352044e-10	1.61447138528913e-09
"HALLMARK_XENOBIOTIC_METABOLISM"	187	"Down"	1.50569066642392e-09	7.52845333211962e-09
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	94	"Down"	6.01475872872235e-09	2.73398124032834e-08
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	69	"Down"	2.22680959287757e-08	9.27837330365654e-08
"HALLMARK_MYOGENESIS"	147	"Down"	2.43891766814618e-08	9.38045256979301e-08
"HALLMARK_KRAS_SIGNALING_UP"	177	"Down"	5.79702052548227e-08	2.07036447338652e-07
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	183	"Down"	5.58587622581002e-07	1.86195874193667e-06
"HALLMARK_MYC_TARGETS_V2"	57	"Up"	2.64984253863353e-06	8.28075793322979e-06
"HALLMARK_IL2_STAT5_SIGNALING"	171	"Down"	3.21064230619598e-06	9.44306560645878e-06
"HALLMARK_BILE_ACID_METABOLISM"	101	"Down"	1.68565198275931e-05	4.68236661877586e-05
"HALLMARK_HYPOXIA"	176	"Down"	0.000131546693355557	0.000346175508830412
"HALLMARK_APICAL_JUNCTION"	163	"Down"	0.000346905565288875	0.000867263913222187
"HALLMARK_ANGIOGENESIS"	32	"Down"	0.000824562871674766	0.00196324493255897
"HALLMARK_APOPTOSIS"	147	"Down"	0.00104746122380618	0.00238059369046858
"HALLMARK_UV_RESPONSE_DN"	136	"Down"	0.00165319530652161	0.00359390284026437
"HALLMARK_FATTY_ACID_METABOLISM"	146	"Down"	0.00341761049727214	0.00712002186931696
"HALLMARK_DNA_REPAIR"	147	"Up"	0.00374231346755722	0.00748462693511443
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	111	"Up"	0.0114770156696947	0.0220711839801822
"HALLMARK_SPERMATOGENESIS"	67	"Up"	0.0143075205197902	0.0264954083699818
"HALLMARK_ADIPOGENESIS"	188	"Down"	0.0166772750446189	0.0297808482939623
"HALLMARK_MITOTIC_SPINDLE"	195	"Up"	0.0299520500670462	0.0516414656328383
"HALLMARK_KRAS_SIGNALING_DN"	87	"Down"	0.0497088034852728	0.082848005808788
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	72	"Down"	0.0679329384161203	0.109569255509871
"HALLMARK_PEROXISOME"	96	"Down"	0.0826861770854209	0.12919715169597
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	48	"Down"	0.0962062878695089	0.145767102832589
"HALLMARK_ANDROGEN_RESPONSE"	93	"Down"	0.144471428723147	0.208350302424634
"HALLMARK_TGF_BETA_SIGNALING"	52	"Down"	0.145845211697243	0.208350302424634
"HALLMARK_APICAL_SURFACE"	32	"Down"	0.150185497903332	0.208590969310184
"HALLMARK_HEME_METABOLISM"	165	"Down"	0.162128507505662	0.219092577710354
"HALLMARK_P53_PATHWAY"	190	"Down"	0.249606055919633	0.328429020946886
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	183	"Down"	0.296464546305191	0.380082751673321
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	38	"Up"	0.318306333665163	0.385820263642333
"HALLMARK_UV_RESPONSE_UP"	142	"Down"	0.321593760565347	0.385820263642333
"HALLMARK_MTORC1_SIGNALING"	199	"Up"	0.32408902145956	0.385820263642333
"HALLMARK_PROTEIN_SECRETION"	93	"Up"	0.341637469653435	0.397252871690041
"HALLMARK_ESTROGEN_RESPONSE_LATE"	178	"Down"	0.351767167453005	0.399735417560233
"HALLMARK_GLYCOLYSIS"	179	"Up"	0.455966983631441	0.506629981812712
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	200	"Up"	0.467709537659506	0.508379932238593
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	95	"Up"	0.587068885496627	0.624541367549603
"HALLMARK_HEDGEHOG_SIGNALING"	30	"Down"	0.635868253336629	0.662362763892322
"HALLMARK_PANCREAS_BETA_CELLS"	24	"Down"	0.820947482524582	0.837701512780185
"HALLMARK_NOTCH_SIGNALING"	31	"Down"	0.845263208857745	0.845263208857745
