"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	179	"Down"	1.00625814377788e-18	5.03129071888938e-17
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	184	"Down"	5.87685560869618e-16	1.46921390217405e-14
"HALLMARK_COAGULATION"	124	"Down"	3.00684373246325e-14	5.01140622077208e-13
"HALLMARK_E2F_TARGETS"	194	"Up"	1.72871496395918e-12	2.16089370494897e-11
"HALLMARK_MYC_TARGETS_V1"	199	"Up"	5.88727611456493e-12	5.88727611456493e-11
"HALLMARK_G2M_CHECKPOINT"	191	"Up"	9.23585411508511e-11	7.69654509590426e-10
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	94	"Down"	3.15322306895433e-09	1.9972690743757e-08
"HALLMARK_COMPLEMENT"	178	"Down"	3.19563051900111e-09	1.9972690743757e-08
"HALLMARK_ALLOGRAFT_REJECTION"	166	"Down"	2.34378895573416e-08	1.30210497540787e-07
"HALLMARK_XENOBIOTIC_METABOLISM"	187	"Down"	3.49027449549664e-08	1.74513724774832e-07
"HALLMARK_MYOGENESIS"	147	"Down"	8.25910391720552e-08	3.75413814418433e-07
"HALLMARK_INFLAMMATORY_RESPONSE"	161	"Down"	1.47650052399385e-07	6.15208551664104e-07
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	69	"Down"	2.79688068438644e-07	1.07572334014863e-06
"HALLMARK_MYC_TARGETS_V2"	57	"Up"	1.43487891197683e-06	5.12456754277441e-06
"HALLMARK_KRAS_SIGNALING_UP"	177	"Down"	2.03436435753881e-06	6.78121452512936e-06
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	183	"Down"	5.88682128692318e-06	1.83963165216349e-05
"HALLMARK_BILE_ACID_METABOLISM"	101	"Down"	3.80045490085537e-05	0.000111778085319275
"HALLMARK_IL2_STAT5_SIGNALING"	171	"Down"	0.000107423810002594	0.000298399472229429
"HALLMARK_UV_RESPONSE_DN"	136	"Down"	0.000170326244666587	0.000448226959648913
"HALLMARK_DNA_REPAIR"	147	"Up"	0.000522400656838689	0.00130600164209672
"HALLMARK_HYPOXIA"	176	"Down"	0.00284372565410566	0.00677077536691824
"HALLMARK_ANGIOGENESIS"	32	"Down"	0.00357094974524061	0.00811579487554685
"HALLMARK_APICAL_JUNCTION"	163	"Down"	0.0040523692619393	0.00880949839552022
"HALLMARK_APOPTOSIS"	147	"Down"	0.00569009318002887	0.0118543607917268
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	111	"Up"	0.00898305928181172	0.0179661185636234
"HALLMARK_FATTY_ACID_METABOLISM"	146	"Down"	0.0224803002192776	0.0432313465755338
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	200	"Up"	0.034982019703824	0.0647815179700445
"HALLMARK_KRAS_SIGNALING_DN"	87	"Down"	0.0726831046842946	0.129791258364812
"HALLMARK_SPERMATOGENESIS"	67	"Up"	0.0806825171425391	0.139107788176792
"HALLMARK_ADIPOGENESIS"	188	"Down"	0.106443388609242	0.17740564768207
"HALLMARK_MITOTIC_SPINDLE"	195	"Up"	0.131608245655319	0.212271363960191
"HALLMARK_MTORC1_SIGNALING"	199	"Up"	0.136726529825037	0.21363520285162
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	38	"Up"	0.159596638884099	0.241813089218332
"HALLMARK_GLYCOLYSIS"	179	"Up"	0.182963930295854	0.262741266606175
"HALLMARK_ANDROGEN_RESPONSE"	93	"Down"	0.183918886624323	0.262741266606175
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	95	"Up"	0.194165980065553	0.269674972313269
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	72	"Down"	0.221894528260133	0.299857470621801
"HALLMARK_PEROXISOME"	96	"Down"	0.260846154444135	0.343218624268599
"HALLMARK_TGF_BETA_SIGNALING"	52	"Down"	0.270345658240979	0.346596997744845
"HALLMARK_HEME_METABOLISM"	165	"Down"	0.34644858164215	0.433060727052688
"HALLMARK_APICAL_SURFACE"	32	"Down"	0.445268224680979	0.543010030098755
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	183	"Down"	0.481060380519217	0.572690929189544
"HALLMARK_PROTEIN_SECRETION"	93	"Up"	0.536125170633768	0.618443851059076
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	48	"Down"	0.544230588931987	0.618443851059076
"HALLMARK_HEDGEHOG_SIGNALING"	30	"Down"	0.568358358748693	0.631509287498548
"HALLMARK_ESTROGEN_RESPONSE_LATE"	178	"Down"	0.67691709374452	0.735779449722305
"HALLMARK_UV_RESPONSE_UP"	142	"Down"	0.71258750059937	0.758071809148266
"HALLMARK_NOTCH_SIGNALING"	31	"Down"	0.852397548596872	0.887914113121741
"HALLMARK_P53_PATHWAY"	190	"Up"	0.931456609370403	0.939556811418365
"HALLMARK_PANCREAS_BETA_CELLS"	24	"Up"	0.939556811418365	0.939556811418365
