"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	179	"Down"	1.24934452642181e-17	6.24672263210904e-16
"HALLMARK_COAGULATION"	124	"Down"	3.18977761469885e-16	7.83652844107702e-15
"HALLMARK_ALLOGRAFT_REJECTION"	166	"Down"	4.70191706464621e-16	7.83652844107702e-15
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	184	"Down"	9.64052517661928e-15	1.20506564707741e-13
"HALLMARK_E2F_TARGETS"	194	"Up"	1.95359643691705e-13	1.95359643691705e-12
"HALLMARK_INFLAMMATORY_RESPONSE"	161	"Down"	4.22676673687598e-12	3.52230561406332e-11
"HALLMARK_G2M_CHECKPOINT"	191	"Up"	1.3359523619963e-11	9.54251687140212e-11
"HALLMARK_COMPLEMENT"	178	"Down"	6.99452961863913e-11	4.37158101164945e-10
"HALLMARK_XENOBIOTIC_METABOLISM"	187	"Down"	9.56473568450748e-10	5.3137420469486e-09
"HALLMARK_KRAS_SIGNALING_UP"	177	"Down"	1.02531207408259e-08	5.12656037041293e-08
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	69	"Down"	5.27800630643178e-08	2.39909377565081e-07
"HALLMARK_MYOGENESIS"	147	"Down"	7.89832188056322e-08	3.29096745023467e-07
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	94	"Down"	5.05457310993567e-07	1.94406658074449e-06
"HALLMARK_IL2_STAT5_SIGNALING"	171	"Down"	7.90049362373686e-07	2.82160486562031e-06
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	183	"Down"	9.61679015986979e-07	3.0786535610613e-06
"HALLMARK_MYC_TARGETS_V1"	199	"Up"	9.85169139539616e-07	3.0786535610613e-06
"HALLMARK_HYPOXIA"	176	"Down"	1.77981461794101e-05	5.23474887629708e-05
"HALLMARK_BILE_ACID_METABOLISM"	101	"Down"	3.96066498255018e-05	0.000110018471737505
"HALLMARK_APICAL_JUNCTION"	163	"Down"	6.2123231876009e-05	0.000163482189147392
"HALLMARK_MYC_TARGETS_V2"	57	"Up"	7.63121811194955e-05	0.000190780452798739
"HALLMARK_APOPTOSIS"	147	"Down"	0.000494268350727997	0.00117682940649523
"HALLMARK_ANGIOGENESIS"	32	"Down"	0.000563761554298179	0.00128127625976859
"HALLMARK_FATTY_ACID_METABOLISM"	146	"Down"	0.00154939950259046	0.00336825978824014
"HALLMARK_ADIPOGENESIS"	188	"Down"	0.00407357542801416	0.00848661547502951
"HALLMARK_SPERMATOGENESIS"	67	"Up"	0.00501157520399131	0.0100231504079826
"HALLMARK_MITOTIC_SPINDLE"	195	"Up"	0.00793453635118484	0.0152587237522785
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	48	"Down"	0.0102255821177939	0.0189362631810998
"HALLMARK_P53_PATHWAY"	190	"Down"	0.0248293225949591	0.0443380760624269
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	111	"Up"	0.0257779698925328	0.0444447756767808
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	72	"Down"	0.02975247808287	0.04958746347145
"HALLMARK_PEROXISOME"	96	"Down"	0.0310677536753528	0.0498189505820913
"HALLMARK_UV_RESPONSE_DN"	136	"Down"	0.0318841283725384	0.0498189505820913
"HALLMARK_DNA_REPAIR"	147	"Up"	0.0428501786984461	0.0649245131794638
"HALLMARK_KRAS_SIGNALING_DN"	87	"Down"	0.0475504009611638	0.0699270602370056
"HALLMARK_APICAL_SURFACE"	32	"Down"	0.0642773319173962	0.0918247598819945
"HALLMARK_HEME_METABOLISM"	165	"Down"	0.101266784784478	0.140648312200663
"HALLMARK_TGF_BETA_SIGNALING"	52	"Down"	0.116454772882963	0.157371314706707
"HALLMARK_UV_RESPONSE_UP"	142	"Down"	0.130202293556854	0.17131880731165
"HALLMARK_ESTROGEN_RESPONSE_LATE"	178	"Down"	0.153036370831524	0.19620047542503
"HALLMARK_PROTEIN_SECRETION"	93	"Up"	0.169641684584643	0.209003952582671
"HALLMARK_ANDROGEN_RESPONSE"	93	"Down"	0.17138324111779	0.209003952582671
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	183	"Down"	0.205292991448139	0.244396418390641
"HALLMARK_PANCREAS_BETA_CELLS"	24	"Down"	0.519355756036947	0.59553206074627
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	200	"Down"	0.524068213456718	0.59553206074627
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	38	"Up"	0.597084763899704	0.663427515444115
"HALLMARK_MTORC1_SIGNALING"	199	"Up"	0.624905469288789	0.679245075313901
"HALLMARK_HEDGEHOG_SIGNALING"	30	"Down"	0.703680450460367	0.748596223894008
"HALLMARK_NOTCH_SIGNALING"	31	"Down"	0.821035340540568	0.855245146396425
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	95	"Down"	0.893334856317138	0.911566179915447
"HALLMARK_GLYCOLYSIS"	179	"Up"	0.975451608584994	0.975451608584994
