"NGenes"	"Direction"	"PValue"	"FDR"
"HALLMARK_ALLOGRAFT_REJECTION"	166	"Up"	9.44546099967926e-05	0.00323238016280848
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	200	"Up"	0.000129295206512339	0.00323238016280848
"HALLMARK_MYC_TARGETS_V1"	199	"Up"	0.000586467644226921	0.00977446073711536
"HALLMARK_P53_PATHWAY"	190	"Up"	0.000909964991885324	0.0113745623985665
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY"	48	"Up"	0.00527626316341231	0.0527626316341231
"HALLMARK_UV_RESPONSE_DN"	136	"Down"	0.00845523750086255	0.0704603125071879
"HALLMARK_DNA_REPAIR"	147	"Up"	0.0206895333106171	0.138728198546703
"HALLMARK_INFLAMMATORY_RESPONSE"	161	"Up"	0.0221965117674726	0.138728198546703
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	95	"Up"	0.0411044969830157	0.228358316572309
"HALLMARK_GLYCOLYSIS"	179	"Up"	0.0465545764344476	0.232772882172238
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	94	"Down"	0.0604627227739085	0.27483055806322
"HALLMARK_MYC_TARGETS_V2"	57	"Up"	0.0868429041065313	0.335149229587476
"HALLMARK_HYPOXIA"	176	"Up"	0.0878338756466389	0.335149229587476
"HALLMARK_MTORC1_SIGNALING"	199	"Up"	0.114355448454369	0.335149229587476
"HALLMARK_APICAL_JUNCTION"	163	"Up"	0.121319913862976	0.335149229587476
"HALLMARK_KRAS_SIGNALING_UP"	177	"Up"	0.124608754585677	0.335149229587476
"HALLMARK_APICAL_SURFACE"	32	"Up"	0.124637406107714	0.335149229587476
"HALLMARK_UV_RESPONSE_UP"	142	"Up"	0.124735899167908	0.335149229587476
"HALLMARK_ADIPOGENESIS"	188	"Up"	0.136536508884697	0.335149229587476
"HALLMARK_ESTROGEN_RESPONSE_LATE"	178	"Up"	0.136606927736995	0.335149229587476
"HALLMARK_MITOTIC_SPINDLE"	195	"Down"	0.14076267642674	0.335149229587476
"HALLMARK_IL2_STAT5_SIGNALING"	171	"Up"	0.177085691206415	0.40246748001458
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	38	"Up"	0.190464578143161	0.414053430746002
"HALLMARK_PEROXISOME"	96	"Up"	0.231913163622572	0.483152424213692
"HALLMARK_SPERMATOGENESIS"	67	"Down"	0.247207872083995	0.485710656835665
"HALLMARK_PROTEIN_SECRETION"	93	"Down"	0.254278535173878	0.485710656835665
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	72	"Up"	0.262283754691259	0.485710656835665
"HALLMARK_PANCREAS_BETA_CELLS"	24	"Up"	0.308543980306988	0.540508254689511
"HALLMARK_FATTY_ACID_METABOLISM"	146	"Up"	0.313494787719917	0.540508254689511
"HALLMARK_APOPTOSIS"	147	"Up"	0.336148559204336	0.560247598673893
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	184	"Down"	0.364606347406597	0.588074753881608
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	179	"Down"	0.394030416741777	0.601641985062011
"HALLMARK_HEME_METABOLISM"	165	"Up"	0.397083710140927	0.601641985062011
"HALLMARK_COMPLEMENT"	178	"Up"	0.46947667528522	0.68841648375479
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	111	"Up"	0.494453444320185	0.68841648375479
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	183	"Up"	0.497724164812289	0.68841648375479
"HALLMARK_G2M_CHECKPOINT"	191	"Up"	0.52129076097777	0.68841648375479
"HALLMARK_E2F_TARGETS"	194	"Up"	0.52319652765364	0.68841648375479
"HALLMARK_ANGIOGENESIS"	32	"Up"	0.564426217904384	0.723623356287672
"HALLMARK_TGF_BETA_SIGNALING"	52	"Up"	0.579014170198495	0.723767712748118
"HALLMARK_BILE_ACID_METABOLISM"	101	"Down"	0.637296388204913	0.777190717323065
"HALLMARK_COAGULATION"	124	"Up"	0.689909511167326	0.803141735695829
"HALLMARK_MYOGENESIS"	147	"Down"	0.690701892698413	0.803141735695829
"HALLMARK_XENOBIOTIC_METABOLISM"	187	"Up"	0.749707723713531	0.851940595129012
"HALLMARK_NOTCH_SIGNALING"	31	"Up"	0.876028468324982	0.938449356354365
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	69	"Up"	0.890389830980334	0.938449356354365
"HALLMARK_HEDGEHOG_SIGNALING"	30	"Down"	0.902200260092616	0.938449356354365
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	183	"Up"	0.906307088538664	0.938449356354365
"HALLMARK_ANDROGEN_RESPONSE"	93	"Down"	0.919680369227277	0.938449356354365
"HALLMARK_KRAS_SIGNALING_DN"	87	"Down"	0.975151221041835	0.975151221041835
