"Term"	"Ont"	"N"	"DE"	"P.DE"
"GO:0032501"	"multicellular organismal process"	"BP"	4728	1102	1.03376571694774e-25
"GO:0016477"	"cell migration"	"BP"	1101	334	1.54336200548466e-23
"GO:0048870"	"cell motility"	"BP"	1182	347	9.36611041080879e-22
"GO:0051674"	"localization of cell"	"BP"	1182	347	9.36611041080879e-22
"GO:0040011"	"locomotion"	"BP"	1328	379	2.25656166218251e-21
"GO:0048856"	"anatomical structure development"	"BP"	3994	935	4.03193238211261e-21
"GO:0007275"	"multicellular organism development"	"BP"	3640	863	8.32773911576596e-21
"GO:0007155"	"cell adhesion"	"BP"	1001	300	3.00238828289294e-20
"GO:0032502"	"developmental process"	"BP"	4282	987	3.08056286922699e-20
"GO:0022610"	"biological adhesion"	"BP"	1005	300	5.77212015488014e-20
"GO:0048513"	"animal organ development"	"BP"	2402	605	9.48710635050397e-20
"GO:0050896"	"response to stimulus"	"BP"	6174	1344	1.84111511045897e-19
"GO:0051239"	"regulation of multicellular organismal process"	"BP"	2236	568	2.79475718821978e-19
"GO:0006928"	"movement of cell or subcellular component"	"BP"	1494	407	5.8204425231847e-19
"GO:0048731"	"system development"	"BP"	3278	779	1.29534114511595e-18
"GO:0009653"	"anatomical structure morphogenesis"	"BP"	1945	500	7.13552788336742e-18
"GO:0051270"	"regulation of cellular component movement"	"BP"	790	240	4.64852777579593e-17
"GO:0030334"	"regulation of cell migration"	"BP"	692	216	7.34591463576916e-17
"GO:2000145"	"regulation of cell motility"	"BP"	735	225	1.88404032398545e-16
"GO:0009605"	"response to external stimulus"	"BP"	1689	437	4.89446899851958e-16
"GO:0048869"	"cellular developmental process"	"BP"	2911	691	4.92815762936991e-16
"GO:0030154"	"cell differentiation"	"BP"	2750	656	1.30188194466826e-15
"GO:0040012"	"regulation of locomotion"	"BP"	788	233	4.22961913933926e-15
"GO:0023052"	"signaling"	"BP"	4288	958	4.7319772153071e-15
"GO:0048518"	"positive regulation of biological process"	"BP"	4578	1013	7.1281223002756e-15
"GO:0001568"	"blood vessel development"	"BP"	548	174	1.62906896088425e-14
"GO:0007154"	"cell communication"	"BP"	4319	960	2.01034870774902e-14
"GO:0032879"	"regulation of localization"	"BP"	2003	495	2.76058818684233e-14
"GO:0048514"	"blood vessel morphogenesis"	"BP"	476	155	4.59100989187662e-14
"GO:0072358"	"cardiovascular system development"	"BP"	576	179	6.1800342405454e-14
"GO:0002376"	"immune system process"	"BP"	2232	540	8.38470581796081e-14
"GO:0001944"	"vasculature development"	"BP"	569	176	1.61823591684692e-13
"GO:0007165"	"signal transduction"	"BP"	3995	887	6.59252217054938e-13
"GO:0048646"	"anatomical structure formation involved in morphogenesis"	"BP"	810	230	7.42308282840787e-13
"GO:0048583"	"regulation of response to stimulus"	"BP"	3167	721	1.94160968196258e-12
"GO:0051179"	"localization"	"BP"	4926	1063	2.05371315840967e-12
"GO:0035239"	"tube morphogenesis"	"BP"	660	193	3.49921368575925e-12
"GO:0072359"	"circulatory system development"	"BP"	840	234	3.96698926172934e-12
"GO:0048584"	"positive regulation of response to stimulus"	"BP"	1795	440	4.36101821442203e-12
"GO:0006952"	"defense response"	"BP"	1182	309	5.69632905836175e-12
"GO:0002682"	"regulation of immune system process"	"BP"	1182	309	5.69632905836175e-12
"GO:0035295"	"tube development"	"BP"	799	224	6.06684236046674e-12
"GO:0051716"	"cellular response to stimulus"	"BP"	5140	1100	6.64407303052941e-12
"GO:0007166"	"cell surface receptor signaling pathway"	"BP"	2143	511	6.74239124899201e-12
"GO:0050793"	"regulation of developmental process"	"BP"	1888	458	7.76992022647903e-12
"GO:0048522"	"positive regulation of cellular process"	"BP"	4061	892	8.88017340599967e-12
"GO:2000026"	"regulation of multicellular organismal development"	"BP"	1479	370	2.04901213508215e-11
"GO:0098609"	"cell-cell adhesion"	"BP"	574	170	2.37982661354081e-11
"GO:0042221"	"response to chemical"	"BP"	3165	713	2.72670170952964e-11
"GO:0001525"	"angiogenesis"	"BP"	406	129	4.33151014945578e-11
"GO:0006954"	"inflammatory response"	"BP"	558	165	5.4380241274667e-11
"GO:0048468"	"cell development"	"BP"	1476	367	5.8481632722918e-11
"GO:0009888"	"tissue development"	"BP"	1366	343	7.94093528933355e-11
"GO:0051240"	"positive regulation of multicellular organismal process"	"BP"	1252	318	1.08199420482495e-10
"GO:0006955"	"immune response"	"BP"	1527	376	1.24391678024681e-10
"GO:0006935"	"chemotaxis"	"BP"	449	137	2.4719641797741e-10
"GO:0002684"	"positive regulation of immune system process"	"BP"	834	225	2.88042819355362e-10
"GO:0042330"	"taxis"	"BP"	451	137	3.4484191904649e-10
"GO:0065007"	"biological regulation"	"BP"	8450	1697	3.51497107659974e-10
"GO:0043062"	"extracellular structure organization"	"BP"	320	105	3.78561757618878e-10
"GO:0032989"	"cellular component morphogenesis"	"BP"	859	230	3.83912580222321e-10
"GO:0051241"	"negative regulation of multicellular organismal process"	"BP"	875	233	5.07225289398956e-10
"GO:0030198"	"extracellular matrix organization"	"BP"	274	93	5.34224471063756e-10
"GO:0051094"	"positive regulation of developmental process"	"BP"	977	255	6.07353217254664e-10
"GO:0051272"	"positive regulation of cellular component movement"	"BP"	442	134	6.24580412717435e-10
"GO:0051707"	"response to other organism"	"BP"	668	186	7.77080378351758e-10
"GO:0043207"	"response to external biotic stimulus"	"BP"	669	186	8.85042753284733e-10
"GO:0050900"	"leukocyte migration"	"BP"	334	107	1.20016948575386e-09
"GO:0030335"	"positive regulation of cell migration"	"BP"	418	127	1.51942030806686e-09
"GO:0070887"	"cellular response to chemical stimulus"	"BP"	2439	556	1.67690616144518e-09
"GO:0065008"	"regulation of biological quality"	"BP"	2928	653	1.94329645579485e-09
"GO:0051704"	"multi-organism process"	"BP"	1823	430	2.3963478289273e-09
"GO:0000902"	"cell morphogenesis"	"BP"	786	210	2.88295615574405e-09
"GO:2000147"	"positive regulation of cell motility"	"BP"	431	129	3.18975052735731e-09
"GO:0040017"	"positive regulation of locomotion"	"BP"	454	134	4.19722644961611e-09
"GO:0003008"	"system process"	"BP"	1024	261	4.44674599693083e-09
"GO:0009607"	"response to biotic stimulus"	"BP"	697	189	5.52030828321475e-09
"GO:0009887"	"animal organ morphogenesis"	"BP"	747	200	5.87756156226135e-09
"GO:0030029"	"actin filament-based process"	"BP"	597	166	7.36586701912449e-09
"GO:0045087"	"innate immune response"	"BP"	701	189	8.89183150719922e-09
"GO:0071310"	"cellular response to organic substance"	"BP"	2008	463	1.29187178094223e-08
"GO:0050789"	"regulation of biological process"	"BP"	7963	1596	1.2932327349141e-08
"GO:0010033"	"response to organic substance"	"BP"	2431	547	1.85746340163093e-08
"GO:0050776"	"regulation of immune response"	"BP"	790	207	2.05841749734554e-08
"GO:0008284"	"positive regulation of cell proliferation"	"BP"	625	169	4.53900566417383e-08
"GO:0061061"	"muscle structure development"	"BP"	458	131	5.00071743283215e-08
"GO:0046649"	"lymphocyte activation"	"BP"	520	145	5.57107758546924e-08
"GO:0030155"	"regulation of cell adhesion"	"BP"	534	148	6.15263603195234e-08
"GO:0023051"	"regulation of signaling"	"BP"	2664	589	6.88258401752322e-08
"GO:0008283"	"cell proliferation"	"BP"	1431	340	7.23473509728724e-08
"GO:0042127"	"regulation of cell proliferation"	"BP"	1169	285	8.35655355520729e-08
"GO:0010646"	"regulation of cell communication"	"BP"	2629	581	9.41850906719747e-08
"GO:0045595"	"regulation of cell differentiation"	"BP"	1314	315	9.47621533803149e-08
"GO:0001775"	"cell activation"	"BP"	1079	265	1.2729383669821e-07
"GO:0000904"	"cell morphogenesis involved in differentiation"	"BP"	554	151	1.41657425886482e-07
"GO:0097529"	"myeloid leukocyte migration"	"BP"	148	54	1.57388481092632e-07
"GO:0060326"	"cell chemotaxis"	"BP"	218	72	1.61843055118891e-07
"GO:0003012"	"muscle system process"	"BP"	292	90	1.82413273878455e-07
"GO:0045597"	"positive regulation of cell differentiation"	"BP"	701	183	1.8743569400519e-07
"GO:0009617"	"response to bacterium"	"BP"	417	119	2.3497629847824e-07
"GO:0006950"	"response to stress"	"BP"	3063	663	2.39605577336422e-07
"GO:0002252"	"immune effector process"	"BP"	951	236	2.7756517057861e-07
"GO:0048519"	"negative regulation of biological process"	"BP"	4101	863	2.95928265346449e-07
"GO:0019932"	"second-messenger-mediated signaling"	"BP"	270	84	2.99145080599587e-07
"GO:0098742"	"cell-cell adhesion via plasma-membrane adhesion molecules"	"BP"	147	53	3.17577098939393e-07
"GO:0097435"	"supramolecular fiber organization"	"BP"	534	145	3.21267297076946e-07
"GO:0002455"	"humoral immune response mediated by circulating immunoglobulin"	"BP"	53	26	4.03660578462734e-07
"GO:0030036"	"actin cytoskeleton organization"	"BP"	536	145	4.07954623460711e-07
"GO:0045785"	"positive regulation of cell adhesion"	"BP"	314	94	4.33502763866324e-07
"GO:0006958"	"complement activation, classical pathway"	"BP"	44	23	4.39681183343102e-07
"GO:0030595"	"leukocyte chemotaxis"	"BP"	164	57	4.75304152109267e-07
"GO:0035556"	"intracellular signal transduction"	"BP"	2230	496	5.06470050232496e-07
"GO:0000184"	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	"BP"	119	45	5.20687766238393e-07
"GO:0050865"	"regulation of cell activation"	"BP"	423	119	5.32348043564787e-07
"GO:0007010"	"cytoskeleton organization"	"BP"	1044	254	5.45997070050891e-07
"GO:0045937"	"positive regulation of phosphate metabolic process"	"BP"	819	206	6.05455169852382e-07
"GO:0010562"	"positive regulation of phosphorus metabolic process"	"BP"	819	206	6.05455169852382e-07
"GO:0009966"	"regulation of signal transduction"	"BP"	2385	526	6.37692271640171e-07
"GO:2000146"	"negative regulation of cell motility"	"BP"	221	71	6.45614822352285e-07
"GO:0006816"	"calcium ion transport"	"BP"	279	85	6.84869032548274e-07
"GO:0051271"	"negative regulation of cellular component movement"	"BP"	251	78	8.25447517174797e-07
"GO:0008150"	"biological_process"	"BP"	12025	2292	8.9044758554127e-07
"GO:0003013"	"circulatory system process"	"BP"	340	99	8.91717504004516e-07
"GO:0050867"	"positive regulation of cell activation"	"BP"	252	78	9.82634184181004e-07
"GO:0051093"	"negative regulation of developmental process"	"BP"	676	174	1.01197938727066e-06
"GO:0032101"	"regulation of response to external stimulus"	"BP"	621	162	1.01310243748486e-06
"GO:0006956"	"complement activation"	"BP"	75	32	1.05460615890955e-06
"GO:1903039"	"positive regulation of leukocyte cell-cell adhesion"	"BP"	164	56	1.14196772079051e-06
"GO:0045123"	"cellular extravasation"	"BP"	46	23	1.22624425807814e-06
"GO:0001816"	"cytokine production"	"BP"	582	153	1.25569369909511e-06
"GO:0065009"	"regulation of molecular function"	"BP"	2298	506	1.37815979506694e-06
"GO:0050778"	"positive regulation of immune response"	"BP"	638	165	1.42397059101937e-06
"GO:0030449"	"regulation of complement activation"	"BP"	56	26	1.54780735068689e-06
"GO:0014068"	"positive regulation of phosphatidylinositol 3-kinase signaling"	"BP"	66	29	1.61592249094499e-06
"GO:0043408"	"regulation of MAPK cascade"	"BP"	553	146	1.7004839557779e-06
"GO:0051924"	"regulation of calcium ion transport"	"BP"	166	56	1.76490432454436e-06
"GO:0035265"	"organ growth"	"BP"	135	48	1.78414007083012e-06
"GO:0030855"	"epithelial cell differentiation"	"BP"	437	120	1.83204073686809e-06
"GO:0007159"	"leukocyte cell-cell adhesion"	"BP"	248	76	2.05410794196497e-06
