"Pathway"	"N"	"DE"	"P.DE"
"path:hsa05150"	"Staphylococcus aureus infection"	56	32	9.02487468829995e-11
"path:hsa04514"	"Cell adhesion molecules"	103	44	7.53742304803841e-09
"path:hsa05171"	"Coronavirus disease - COVID-19"	197	69	1.44502944295073e-08
"path:hsa05322"	"Systemic lupus erythematosus"	70	31	4.62503276725224e-07
"path:hsa04670"	"Leukocyte transendothelial migration"	92	36	2.1847165845017e-06
"path:hsa04022"	"cGMP-PKG signaling pathway"	122	44	2.35934097688651e-06
"path:hsa04371"	"Apelin signaling pathway"	103	38	6.09315314353578e-06
"path:hsa04510"	"Focal adhesion"	165	53	1.23523025142445e-05
"path:hsa04610"	"Complement and coagulation cascades"	80	31	1.37223413722533e-05
"path:hsa05416"	"Viral myocarditis"	49	22	1.62058008368497e-05
"path:hsa04020"	"Calcium signaling pathway"	135	45	1.93591156820006e-05
"path:hsa04613"	"Neutrophil extracellular trap formation"	117	40	2.85105481068892e-05
"path:hsa05205"	"Proteoglycans in cancer"	171	53	3.74673568184866e-05
"path:hsa04611"	"Platelet activation"	99	35	3.9948843821355e-05
"path:hsa04730"	"Long-term depression"	42	19	5.34898227057293e-05
"path:hsa04072"	"Phospholipase D signaling pathway"	110	37	8.28389190720466e-05
"path:hsa04640"	"Hematopoietic cell lineage"	61	24	9.44130078198393e-05
"path:hsa05310"	"Asthma"	16	10	0.000112263931998797
"path:hsa05410"	"Hypertrophic cardiomyopathy"	58	23	0.000113930049371033
"path:hsa05412"	"Arrhythmogenic right ventricular cardiomyopathy"	51	21	0.000118519088979041
"path:hsa04810"	"Regulation of actin cytoskeleton"	174	52	0.000126565649984619
"path:hsa04151"	"PI3K-Akt signaling pathway"	258	71	0.000154264117962749
"path:hsa04530"	"Tight junction"	138	43	0.000170392968080518
"path:hsa05133"	"Pertussis"	63	24	0.000170716934339725
"path:hsa05140"	"Leishmaniasis"	64	24	0.000226284277390227
"path:hsa04015"	"Rap1 signaling pathway"	170	50	0.00025880832939117
"path:hsa03010"	"Ribosome"	128	40	0.000264016424261882
"path:hsa04380"	"Osteoclast differentiation"	112	36	0.000285736494598949
"path:hsa05167"	"Kaposi sarcoma-associated herpesvirus infection"	155	46	0.000358581462165106
"path:hsa04512"	"ECM-receptor interaction"	63	23	0.000475826232052242
"path:hsa04540"	"Gap junction"	63	23	0.000475826232052242
"path:hsa04725"	"Cholinergic synapse"	75	26	0.00053313530570334
"path:hsa04360"	"Axon guidance"	149	44	0.000535021821587372
"path:hsa04970"	"Salivary secretion"	53	20	0.000670198270387527
"path:hsa04666"	"Fc gamma R-mediated phagocytosis"	85	28	0.000842617235155953
"path:hsa04921"	"Oxytocin signaling pathway"	106	33	0.000940493468200111
"path:hsa05144"	"Malaria"	36	15	0.000944352888846046
"path:hsa04650"	"Natural killer cell mediated cytotoxicity"	78	26	0.00104369647084661
"path:hsa04974"	"Protein digestion and absorption"	63	22	0.00124416618667769
"path:hsa04010"	"MAPK signaling pathway"	226	60	0.00127038648257216
"path:hsa05418"	"Fluid shear stress and atherosclerosis"	121	36	0.0014155402736044
"path:hsa04713"	"Circadian entrainment"	60	21	0.00153955556692244
"path:hsa05414"	"Dilated cardiomyopathy"	60	21	0.00153955556692244
"path:hsa05152"	"Tuberculosis"	139	40	0.00160569993548257
"path:hsa05145"	"Toxoplasmosis"	97	30	0.0017584690321454
"path:hsa05323"	"Rheumatoid arthritis"	69	23	0.0019822304764196
"path:hsa04971"	"Gastric acid secretion"	46	17	0.00216119691986319
"path:hsa05142"	"Chagas disease"	90	28	0.00223225927579638
"path:hsa04270"	"Vascular smooth muscle contraction"	90	28	0.00223225927579638
"path:hsa05231"	"Choline metabolism in cancer"	78	25	0.00239142052326834
"path:hsa05218"	"Melanoma"	58	20	0.00241703362860096
"path:hsa04750"	"Inflammatory mediator regulation of TRP channels"	66	22	0.0024579048156927
"path:hsa05200"	"Pathways in cancer"	412	98	0.00270912384910109
"path:hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	87	27	0.00275510274780204
"path:hsa05034"	"Alcoholism"	104	31	0.00283382944935025
"path:hsa04726"	"Serotonergic synapse"	63	21	0.00304998042757746
"path:hsa04672"	"Intestinal immune network for IgA production"	29	12	0.00323149867204057
"path:hsa04924"	"Renin secretion"	48	17	0.00363123067839333
