"Treatment","Drug","X","VCFG_Compound_Plate_ID","Patient","WellID","Perc_FC","Bin","ZScore","Dose","Hit","Target","Pathway","VCFG_Plate_ID","compared.to","Mahalanobis","mp.value"
"10058-F4_0.5","10058-F4",2503,"D12","yP516_LT1","E07",74.15,"CV2",-3.423,"0.5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D12","DMSO_0uM",2.634,0.165
"10058-F4_5","10058-F4",2395,"D12","yP516_LT1","B07",77.034,"CV2",-3.061,"5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D12","DMSO_0uM",3.071,0.192
"3-Methyladenine (3-MA)_0.5","3-Methyladenine (3-MA)",1855,"D09","yP516_LT1","E07",79.614,"CV2",-1.703,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D09","DMSO_0uM",1.005,0.673
"3-Methyladenine (3-MA)_5","3-Methyladenine (3-MA)",1747,"D09","yP516_LT1","B07",95.007,"CV1",-0.408,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D09","DMSO_0uM",0.397,1
"A-674563_0.5","A-674563",1663,"D08","yP516_LT1","F03",100,"CV1",0.088,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D08","DMSO_0uM",1.451,0.666
"A-674563_5","A-674563",1555,"D08","yP516_LT1","C03",11.506,"LC",-9.441,"5","Yes","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D08","DMSO_0uM",78.127,0
"A-769662_0.5","A-769662",1642,"D08","yP516_LT1","E08",94.737,"CV1",-0.621,"0.5","No","AMPK/LRRK2","AMPK","D08","DMSO_0uM",5.376,0
"A-769662_5","A-769662",1534,"D08","yP516_LT1","B08",100,"CV1",1.338,"5","No","AMPK/LRRK2","AMPK","D08","DMSO_0uM",1.272,0.828
"A66_0.5","A66",1471,"D07","yP516_LT1","F11",92.083,"CV1",-0.996,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D07","DMSO_0uM",1.596,0.338
"A66_5","A66",1363,"D07","yP516_LT1","C11",77.098,"CV2",-2.607,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D07","DMSO_0uM",5.374,0
"abemaciclib (LY2835219)_0.5","abemaciclib (LY2835219)",2539,"D12","yP516_LT1","F07",85.271,"CV1",-2.027,"0.5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D12","DMSO_0uM",1.418,0.494
"abemaciclib (LY2835219)_5","abemaciclib (LY2835219)",2431,"D12","yP516_LT1","C07",39.978,"LC",-7.713,"5","Yes","PLK1/CDK/c-myc/Rho","Cell cycle progression","D12","DMSO_0uM",11.94,0
"AICAR (Acadesine)_0.5","AICAR (Acadesine)",1270,"D06","yP516_LT1","G04",79.947,"CV2",-1.226,"0.5","No","AMPK/LRRK2","AMPK","D06","DMSO_0uM",2.135,0.321
"AICAR (Acadesine)_5","AICAR (Acadesine)",1162,"D06","yP516_LT1","D04",90.844,"CV1",-0.552,"5","No","AMPK/LRRK2","AMPK","D06","DMSO_0uM",2.588,0.329
"Akti-1/2_0.5","Akti-1/2",3139,"D15","yP516_LT1","E03",63.309,"CV2",-1.954,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D15","DMSO_0uM",2.818,0.165
"Akti-1/2_5","Akti-1/2",3031,"D15","yP516_LT1","B03",100,"CV1",-0.07,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D15","DMSO_0uM",0.361,1
"Alisertib (MLN8237)_0.5","Alisertib (MLN8237)",556,"D03","yP516_LT1","E06",86.13,"CV1",-0.407,"0.5","No","AUK","Cell cycle progression","D03","DMSO_0uM",8.206,0
"Alisertib (MLN8237)_5","Alisertib (MLN8237)",448,"D03","yP516_LT1","B06",14.771,"LC",-3.084,"5","Yes","AUK","Cell cycle progression","D03","DMSO_0uM",25.088,0
"Alpelisib (BYL719)_0.5","Alpelisib (BYL719)",2059,"D10","yP516_LT1","E03",97.208,"CV1",-0.266,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D10","DMSO_0uM",1.893,0.333
"Alpelisib (BYL719)_5","Alpelisib (BYL719)",1951,"D10","yP516_LT1","B03",59.194,"CV2",-3.269,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D10","DMSO_0uM",5.535,0
"AMG-900_0.5","AMG-900",1717,"D08","yP516_LT1","G09",83.52,"CV1",-1.81,"0.5","No","AUK","Cell cycle progression","D08","DMSO_0uM",5.499,0
"AMG-900_5","AMG-900",1609,"D08","yP516_LT1","D09",95.148,"CV1",-0.577,"5","No","AUK","Cell cycle progression","D08","DMSO_0uM",2.016,0.183
"AMG319_0.5","AMG319",3211,"D15","yP516_LT1","G03",77.127,"CV2",-1.36,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D15","DMSO_0uM",4.24,0.137
"AMG319_5","AMG319",3103,"D15","yP516_LT1","D03",95.806,"CV1",-0.557,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D15","DMSO_0uM",0.749,0.829
"Anacardic Acid_0.5","Anacardic Acid",2968,"D14","yP516_LT1","F06",100,"CV1",0.495,"0.5","No","Miscellaneous","Miscellaneous","D14","DMSO_0uM",0.734,0.835
"Anacardic Acid_5","Anacardic Acid",2860,"D14","yP516_LT1","C06",100,"CV1",0.518,"5","No","Miscellaneous","Miscellaneous","D14","DMSO_0uM",1.073,0.624
"Apitolisib (GDC-0980_ RG7422)_0.5","Apitolisib (GDC-0980_ RG7422)",1711,"D08","yP516_LT1","G07",74.626,"CV2",-2.752,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D08","DMSO_0uM",5.493,0
"Apitolisib (GDC-0980_ RG7422)_5","Apitolisib (GDC-0980_ RG7422)",1603,"D08","yP516_LT1","D07",31.005,"LC",-7.375,"5","Yes","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D08","DMSO_0uM",19.851,0
"APTSTAT3-9R_0.5","APTSTAT3-9R",3433,"D16","yP516_LT1","G10",90.63,"CV1",-0.786,"0.5","No","JAK/STAT/Pim","JAK/STAT","D16","DMSO_0uM",1.128,0.691
"APTSTAT3-9R_5","APTSTAT3-9R",3334,"D16","yP516_LT1","D10",96.653,"CV1",-0.388,"5","No","JAK/STAT/Pim","JAK/STAT","D16","DMSO_0uM",3.415,0
"AR-A014418_0.5","AR-A014418",2728,"D13","yP516_LT1","E10",100,"CV1",0.001,"0.5","No","GSK-3","Wnt","D13","DMSO_0uM",0.78,1
"AR-A014418_5","AR-A014418",2620,"D13","yP516_LT1","B10",96.897,"CV1",-0.409,"5","No","GSK-3","Wnt","D13","DMSO_0uM",0.2,1
"AS-252424_0.5","AS-252424",1699,"D08","yP516_LT1","G03",96.306,"CV1",-0.455,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D08","DMSO_0uM",2.803,0
"AS-252424_5","AS-252424",1591,"D08","yP516_LT1","D03",100,"CV1",0.412,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D08","DMSO_0uM",0.914,1
"AS-604850_0.5","AS-604850",1669,"D08","yP516_LT1","F05",91.513,"CV1",-0.963,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D08","DMSO_0uM",4.76,0
"AS-604850_5","AS-604850",1561,"D08","yP516_LT1","C05",83.3,"CV1",-1.833,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D08","DMSO_0uM",5.939,0
"Asiatic Acid_0.5","Asiatic Acid",1456,"D07","yP516_LT1","F06",84.931,"CV1",-1.765,"0.5","No","JNK/p38 MAPK/CaMK","JNK/p38/MAPK","D07","DMSO_0uM",1.538,0.656
"Asiatic Acid_5","Asiatic Acid",1348,"D07","yP516_LT1","C06",73.462,"CV2",-2.998,"5","No","JNK/p38 MAPK/CaMK","JNK/p38/MAPK","D07","DMSO_0uM",7.351,0
"AT13148_0.5","AT13148",2965,"D14","yP516_LT1","F05",79.209,"CV2",-1.621,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D14","DMSO_0uM",1.666,0.304
"AT13148_5","AT13148",2857,"D14","yP516_LT1","C05",71.679,"CV2",-2.178,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D14","DMSO_0uM",2.606,0.165
"AT7519_0.5","AT7519",1060,"D05","yP516_LT1","G06",73.956,"CV2",-1.849,"0.5","No","PLK1/CDK/c-myc/Rho","Cell cycle progression","D05","DMSO_0uM",1.238,0.844
"AT7519_5","AT7519",952,"D05","yP516_LT1","D06",1.915,"LC",-6.663,"5","Yes","PLK1/CDK/c-myc/Rho","Cell cycle progression","D05","DMSO_0uM",94.603,0
"AT7867_0.5","AT7867",1036,"D05","yP516_LT1","F10",100,"CV1",-0.089,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D05","DMSO_0uM",1.466,0.318
"AT7867_5","AT7867",928,"D05","yP516_LT1","C10",77.923,"CV2",-1.584,"5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D05","DMSO_0uM",1.41,0.493
"AT9283_0.5","AT9283",592,"D03","yP516_LT1","F06",59.934,"CV2",-1.389,"0.5","No","AUK","Cell cycle progression","D03","DMSO_0uM",5.363,0
"AT9283_5","AT9283",484,"D03","yP516_LT1","C06",20.158,"LC",-2.882,"5","Yes","AUK","Cell cycle progression","D03","DMSO_0uM",19.712,0
"Aurora A Inhibitor I_0.5","Aurora A Inhibitor I",856,"D04","yP516_LT1","G10",100,"HI",1.071,"0.5","No","AUK","Cell cycle progression","D04","DMSO_0uM",2.003,0.333
"Aurora A Inhibitor I_5","Aurora A Inhibitor I",748,"D04","yP516_LT1","D10",47.657,"LC",-3.949,"5","Yes","AUK","Cell cycle progression","D04","DMSO_0uM",11.776,0
"AZ 628_0.5","AZ 628",1882,"D09","yP516_LT1","F04",93.684,"CV1",-0.519,"0.5","No","MAPK/ERK","MAPK/ERK","D09","DMSO_0uM",0.548,1
"AZ 628_5","AZ 628",1774,"D09","yP516_LT1","C04",100,"CV1",1.443,"5","No","MAPK/ERK","MAPK/ERK","D09","DMSO_0uM",1.149,0.666
"AZ 960_0.5","AZ 960",1219,"D06","yP516_LT1","E11",98.489,"CV1",-0.079,"0.5","No","JAK/STAT/Pim","JAK/STAT","D06","DMSO_0uM",2.266,0.335
"AZ 960_5","AZ 960",1111,"D06","yP516_LT1","B11",71.859,"CV2",-1.727,"5","No","JAK/STAT/Pim","JAK/STAT","D06","DMSO_0uM",4.127,0.158
"AZ20_0.5","AZ20",2365,"D11","yP516_LT1","G09",92.909,"CV1",-0.661,"0.5","No","ATM/ATR/DNA-PK/Chk","DNA Damage Response","D11","DMSO_0uM",0.648,1
"AZ20_5","AZ20",2257,"D11","yP516_LT1","D09",35.726,"LC",-6.676,"5","Yes","ATM/ATR/DNA-PK/Chk","DNA Damage Response","D11","DMSO_0uM",21.637,0
"AZD1080_0.5","AZD1080",2572,"D12","yP516_LT1","G06",92.611,"CV1",-1.106,"0.5","No","GSK-3","Wnt","D12","DMSO_0uM",0.963,0.672
"AZD1080_5","AZD1080",2464,"D12","yP516_LT1","D06",68.451,"CV2",-4.139,"5","No","GSK-3","Wnt","D12","DMSO_0uM",4.038,0.145
"AZD1208_0.5","AZD1208",2566,"D12","yP516_LT1","G04",92.47,"CV1",-1.123,"0.5","No","JAK/STAT/Pim","JAK/STAT","D12","DMSO_0uM",1.675,0.494
"AZD1208_5","AZD1208",2458,"D12","yP516_LT1","D04",86.75,"CV1",-1.841,"5","No","JAK/STAT/Pim","JAK/STAT","D12","DMSO_0uM",1.374,0.536
"AZD1480_0.5","AZD1480",1207,"D06","yP516_LT1","E07",96.603,"CV1",-0.196,"0.5","No","JAK/STAT/Pim","JAK/STAT","D06","DMSO_0uM",0.338,1
"AZD1480_5","AZD1480",1099,"D06","yP516_LT1","B07",61.468,"CV2",-2.37,"5","No","JAK/STAT/Pim","JAK/STAT","D06","DMSO_0uM",9.649,0
"AZD2858_0.5","AZD2858",2707,"D13","yP516_LT1","E03",93.572,"CV1",-0.653,"0.5","No","GSK-3","Wnt","D13","DMSO_0uM",0.424,1
"AZD2858_5","AZD2858",2599,"D13","yP516_LT1","B03",65.024,"CV2",-2.741,"5","No","GSK-3","Wnt","D13","DMSO_0uM",3.369,0.156
"AZD5363_0.5","AZD5363",3163,"D15","yP516_LT1","E11",99.229,"CV1",-0.41,"0.5","No","PIK3/mTOR/AKT/PDK","PIK3/mTOR/AKT","D15","DMSO_0uM",0.728,0.684
