"Comparison"	"GeneID"	"SYMBOL"	"TXCHROM"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"PD_CR"	115290	"FBXO17"	"chr19"	-4.75670122754733	4.03635415568688	-9.59367807308278	3.21713786570065e-08	0.000453359068034536
"PD_CR"	80781	"COL18A1"	"chr21"	-3.17106252988473	7.00638086932407	-8.75188366398361	1.1762555076877e-07	0.000828789630716755
"PD_CR"	6935	"ZEB1"	"chr10"	-3.46675893164867	4.99325096507228	-8.10341002715726	3.38326723140043e-07	0.00106336722514191
"PD_CR"	800	"CALD1"	"chr7"	-3.93028602925086	9.0190830859219	-8.08342004936592	3.49819531306471e-07	0.00106336722514191
"PD_CR"	147947	"ZNF542P"	"chr19"	-5.06156441923024	3.13017378244211	-7.91850585423091	4.61721259565999e-07	0.00106336722514191
"PD_CR"	9935	"MAFB"	"chr20"	-4.08633137347973	5.83280803068587	-7.84953502231031	5.19090152911985e-07	0.00106336722514191
"PD_CR"	1756	"DMD"	"chrX"	-4.94011055360101	4.37779221884756	-7.57256363516719	8.36017748437047e-07	0.00106336722514191
"PD_CR"	23710	"GABARAPL1"	"chr12"	-3.41751474688579	6.18888182313687	-7.56961497701054	8.40315833601376e-07	0.00106336722514191
"PD_CR"	3680	"ITGA9"	"chr3"	-4.29356556145809	3.51591146132889	-7.55698320807485	8.58991121738789e-07	0.00106336722514191
"PD_CR"	4628	"MYH10"	"chr17"	-4.19545539090016	6.05637311758886	-7.48314260609922	9.77182802247393e-07	0.00106336722514191
"PD_CR"	3437	"IFIT3"	"chr10"	-3.57114208615978	4.10628794567015	-7.48048911071515	9.8173347277153e-07	0.00106336722514191
"PD_CR"	54875	"CNTLN"	"chr9"	-4.09090312358575	4.77934246495273	-7.41326858422979	1.10470351316367e-06	0.00106336722514191
"PD_CR"	199	"AIF1"	"chr6"	-3.54778524457169	5.03367590385202	-7.38374415729945	1.16369564422999e-06	0.00106336722514191
"PD_CR"	63895	"PIEZO2"	"chr18"	-4.76554086515534	5.00703187270942	-7.37741584114521	1.17676235763129e-06	0.00106336722514191
"PD_CR"	7325	"UBE2E2"	"chr3"	-4.47559601989626	3.28202986936108	-7.36506211785159	1.20271320476918e-06	0.00106336722514191
"PD_CR"	715	"C1R"	"chr12"	-4.63605869294283	8.74966718562354	-7.35449714931361	1.22537989117447e-06	0.00106336722514191
"PD_CR"	23345	"SYNE1"	"chr6"	-4.35534602165316	5.6772203486402	-7.30487354904812	1.33796307795219e-06	0.00106336722514191
"PD_CR"	100505881	"MAGI2-AS3"	"chr7"	-4.51872834254461	3.57493704881746	-7.29639182272787	1.35826071902884e-06	0.00106336722514191
"PD_CR"	26064	"RAI14"	"chr5"	-2.80093280505022	5.90647422647358	-7.20998439430387	1.58430514215045e-06	0.00117505410858864
"PD_CR"	56975	"FAM20C"	"chr7"	-3.81038760855808	5.18042100877724	-7.15065555545048	1.76196131570373e-06	0.00124147794304485
"PD_CR"	3428	"IFI16"	"chr1"	-3.43060702347763	6.01590961184364	-7.1161807044357	1.87461713749631e-06	0.00125795736674276
